C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:18:34

Vmag< 11&dec< 0&rah >=9.5&rah< 9.75
-----------------------------------

Number of objects : 7080

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
1482|HD 84256                                                              |Star                              |09 43 38.0151166440 -17 25 57.070280820|251.8825589753811 +26.2965887490063|  -26.109 4.485   |8.12     |K2III          |    ~     ~    
1483|HD 84255                                                              |Star                              |09 43 40.7745185088 -17 14 23.942314032|251.7350119786851 +26.4369960429498| -18.490 -8.732   |9.77     |F6V            |    ~     ~    
1484|HD 84411                                                              |Star                              |09 44 47.3614139208 -17 00 55.324644588|251.7567574656648 +26.7839455399891|  -7.805 -5.118   |8.70     |K1/2III        |    ~     ~    
1485|HD 84410                                                              |Star                              |09 44 48.6543355344 -16 50 46.048727184|251.6231262707421 +26.9041697099460| -23.599 -2.570   |8.58     |A2mA8-A9       |    ~     ~    
1486|HD 84444                                                              |High Proper Motion Star           |09 44 58.8590722608 -17 00 45.622113732|251.7899216525655 +26.8190110149153| 29.569 -75.713   |9.64     |G6V            |    ~     ~    
1487|HD 83573                                                              |Star                              |09 38 58.4945389152 -18 11 01.513385304|251.6463618388745 +24.9742557706047| -4.230 -14.335   |7.98     |K3III          |    ~     ~    
1488|HD 83671                                                              |Star                              |09 39 44.8200980496 -18 04 05.103270804|251.6913994785596 +25.1872518961462| -17.137 -9.254   |8.995    |G8III/IV       |    ~     ~    
1489|BD-17 2931                                                            |Star                              |09 41 08.4387289824 -17 52 56.822820240|251.7926395126698 +25.5559268250061| -20.686 -0.068   |9.58     |G5             |    ~     ~    
1490|HD 83988                                                              |High Proper Motion Star           |09 41 34.6321825272 -17 53 11.405200560|251.8748894026390 +25.6287397756350|-93.031 -45.691   |8.92     |K0V            |    ~     ~    
1491|HD 84026                                                              |Star                              |09 41 50.3910315360 -17 47 59.163540468|251.8524927251066 +25.7337256192814|  -5.052 -3.993   |8.28     |F2V            |    ~     ~    
1492|HD 84053                                                              |Star                              |09 42 01.6506372168 -17 55 45.611310972|251.9910442560375 +25.6771838076798|   0.682 -7.140   |9.45     |F3V            |    ~     ~    
1493|HD 84423                                                              |Star                              |09 44 51.5613114288 -17 42 23.027320044|252.3285741524589 +26.3190144475058| -13.682 -0.642   |6.80     |K4III+A3/7V    |    ~     ~    
1494|BD-17 2953                                                            |Double or Multiple Star           |09 44 57.732 -17 40 32.89              |252.322843 +26.357868              |     -28.6 26.0   |9.6      |F8             |    ~     ~    
1495|HD 83353                                                              |Star                              |09 37 23.1227920224 -18 26 17.294086536|251.5682851179221 +24.5248016630717|  -17.090 1.849   |8.84     |A1V            |    ~     ~    
1496|HD 83457                                                              |Star                              |09 38 04.4698809240 -18 37 42.356198172|251.8437035107758 +24.5146497242801| 19.707 -13.279   |9.53     |A3/5II         |    ~     ~    
1497|HD 83607                                                              |Star                              |09 39 20.9550764256 -18 18 41.838257016|251.8163401283403 +24.9518219847692|  -10.539 0.766   |8.32     |A0V            |    ~     ~    
1498|BD-17 2929                                                            |High Proper Motion Star           |09 40 36.7145810016 -18 31 01.026883344|252.2077828308650 +25.0291668384793| -5.707 -89.313   |9.13     |K2             |    ~     ~    
1499|HD 83825                                                              |Star                              |09 40 37.9758691584 -18 29 07.686713220|252.1863127738531 +25.0544188950003| 18.252 -35.633   |8.37     |F3V            |    ~     ~    
1500|HD 83973                                                              |Double or Multiple Star           |09 41 29.88304 -18 29 00.1790          |252.34048644 +25.20474027          |  -103.45 46.76   |7.65     |F7V            |    ~     ~    
1501|HD 84168                                                              |High Proper Motion Star           |09 42 46.8547915248 -18 39 23.369830848|252.7110212732158 +25.3051842721809| -7.134 -53.083   |9.29     |G5V            |    ~     ~    
1502|HD 84365                                                              |Star                              |09 44 22.6758405744 -18 32 50.195028228|252.9144666498762 +25.6535828389628|  -9.394 -3.479   |10.43    |B8V            |    ~     ~    
1503|HD 84115                                                              |Star                              |09 42 23.5565236728 -18 46 52.077285624|252.7401841389412 +25.1525651375098| -14.986 -6.641   |9.22     |A0V            |    ~     ~    
1504|IRAS 09353-1802                                                       |Star                              |09 37 42.6306194352 -18 16 35.668392672|251.4957927617192 +24.6912652243148|  -8.364 10.537   |9.34     |~              |    ~     ~    
1505|BD-15 2843                                                            |High Proper Motion Star           |09 36 39.0720048264 -16 35 30.322320180|249.9347557107841 +25.6433181844689|  12.308 98.995   |9.80     |~              |    ~     ~    
1506|BD-17 2909                                                            |Double or Multiple Star           |09 37 24.511776 -17 46 37.37532        |251.037989382 +24.977738466        |     -10.3 11.2   |10.511   |~              |    ~     ~    
