C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:40:01

Vmag< 11&dec >=0&rah >=19.25&rah< 19.5
--------------------------------------

Number of objects : 7704

 #  |                                                                 identifier                                                                 |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type     |      ang. size      
----|--------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-------------------|---------------------
107 |TYC 3146-1445-1                                                                                                                             |Star                           |19 28 51.8299006824 +43 38 31.037897436|076.0184952786355 +12.1216999811578| -6.887 -10.968    |10.80    |~                  |    ~     ~          
108 |TYC 3543-218-1                                                                                                                              |Star                           |19 29 32.9318156328 +45 08 22.739631792|077.4517894719040 +12.6679625922645|    2.805 0.265    |10.07    |K5III              |    ~     ~          
109 |TYC 3543-533-1                                                                                                                              |High Proper Motion Star        |19 28 29.8104233088 +45 15 28.696991868|077.4783252718726 +12.8863113861996|-13.197 -84.272    |10.25    |~                  |    ~     ~          
110 |TYC 3543-2378-1                                                                                                                             |Star                           |19 27 04.5687632040 +45 36 53.849719692|077.6986271746036 +13.2651296580989|   12.744 9.682    |9.95     |F5IV               |    ~     ~          
111 |TYC 3543-2657-1                                                                                                                             |Star                           |19 29 14.0402553840 +45 28 19.257568932|077.7337839573520 +12.8626256926169|   1.386 -2.740    |10.86    |~                  |    ~     ~          
112 |TYC 3543-3025-1                                                                                                                             |Star                           |19 29 49.2012187680 +45 20 27.786148764|077.6588749740223 +12.7129774134959|   0.396 -3.928    |10.94    |~                  |    ~     ~          
113 |TYC 3543-3083-1                                                                                                                             |Star                           |19 25 08.1725124816 +45 03 19.917464976|077.0292108086250 +13.3342549674252|-17.318 -35.468    |10.50    |F5                 |    ~     ~          
114 |BD+42 3342                                                                                                                                  |Star                           |19 26 25.5254653248 +43 04 27.365557152|075.2978388534334 +12.2718594100144|  -2.262 -0.511    |9.76     |A5                 |    ~     ~          
115 |BD+43 3239                                                                                                                                  |Rotating Variable              |19 25 33.838536 +44 13 16.21704        |076.288267638 +12.908522590        |      48.6 10.3    |9.79     |F6IV               |    ~     ~          
116 |HD 183829                                                                                                                                   |delta Sct Variable             |19 29 17.8046694024 +46 21 26.125439580|078.5575406924360 +13.2365169053559|   2.159 -5.745    |9.32     |B8V                |    ~     ~          
117 |BD+45 2904                                                                                                                                  |Star                           |19 28 46.5582140256 +45 55 15.254780412|078.1133453211393 +13.1293022315818| -0.575 -10.006    |10.03    |K1III              |    ~     ~          
118 |BD+45 2910                                                                                                                                  |gamma Dor Variable             |19 29 56.1187778712 +45 51 45.968791680|078.1493983236901 +12.9223219641690|    7.548 3.539    |9.99     |F0                 |    ~     ~          
119 |BD+45 2901                                                                                                                                  |Star                           |19 27 25.8605572368 +46 08 06.959257980|078.2090080450377 +13.4322593553367| -3.320 -16.368    |9.65     |M0III              |    ~     ~          
120 |BD+45 2903                                                                                                                                  |Star                           |19 27 42.9889271640 +46 10 54.121126872|078.2739131966217 +13.4074785942182|   -0.078 7.884    |9.11     |K0III              |    ~     ~          
121 |BD+45 2905                                                                                                                                  |Star                           |19 28 46.56 +46 17 40.8                |078.45967 +13.29061                |            ~ ~    |9.8      |~                  |    ~     ~          
122 |HD 183299                                                                                                                                   |Star                           |19 26 52.8186073776 +45 50 09.786945444|077.8889049191499 +13.3907041740068|  -0.222 20.183    |8.04     |G5                 |    ~     ~          
123 |TYC 3543-435-1                                                                                                                              |Red Giant Branch star          |19 29 06.4578119184 +46 14 59.206039404|078.4434734828893 +13.2195404445102|  -4.553 -7.320    |9.75     |~                  |    ~     ~          
124 |TYC 3543-475-1                                                                                                                              |Star                           |19 29 36.3876138744 +46 44 28.819736988|078.9371325441316 +13.3543513407596|  -2.346 -2.103    |10.95    |~                  |    ~     ~          
125 |TYC 3543-1258-1                                                                                                                             |Star                           |19 29 02.3446653600 +46 14 42.970651512|078.4340371686352 +13.2282822100107|  -4.127 -3.323    |10.35    |K3III              |    ~     ~          
