C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:03:01

Vmag< 11&dec< 0&rah >=15.75&rah< 16.0
-------------------------------------

Number of objects : 6366

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |       ang. size       
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|-----------------------
4240|CD-50 9893                                                            |Star                                  |15 50 31.8473795688 -50 36 53.679020688|329.5106133816907 +02.7780985543631|  -4.310 -5.053   |10.97    |A0               |    ~     ~            
4241|CD-50 9898                                                            |Star                                  |15 50 44.8268065752 -50 30 26.640499788|329.6049690209356 +02.8402051042793| -11.066 -6.593   |9.55     |~                |    ~     ~            
4242|CD-50 9902                                                            |Star                                  |15 51 02.5977703944 -50 44 40.226505000|329.4923440950003 +02.6262640433035|-10.481 -10.081   |9.95     |G5               |    ~     ~            
4243|LTT 6316                                                              |High Proper Motion Star               |15 51 05.9965715640 -50 41 16.068691320|329.5350302384414 +02.6647121497431|261.542 -69.643   |10.71    |K                |    ~     ~            
4244|CD-50 9904                                                            |Star                                  |15 51 04.5455037888 -50 29 03.288216372|329.6602385316114 +02.8253553667185|  -3.138 -5.868   |10.73    |B9               |    ~     ~            
4245|HD 141390                                                             |Star                                  |15 51 06.8775904392 -50 45 20.319205536|329.4941123930515 +02.6105093670383|  -3.846 -6.069   |9.54     |B4II/III         |    ~     ~            
4246|CD-50 9908                                                            |Star                                  |15 51 14.2761210648 -51 13 24.743927352|329.2145628293785 +02.2346172130481|   0.622 -3.097   |10.86    |B9               |    ~     ~            
4247|CD-50 9915                                                            |Star                                  |15 51 28.8365132112 -51 18 34.425849564|329.1898814322959 +02.1438835610699|-12.666 -34.954   |9.94     |~                |    ~     ~            
4248|CD-50 9923                                                            |Star                                  |15 51 52.4876441328 -51 19 53.298588720|329.2239016441532 +02.0880510028852|  -3.201 -7.968   |10.99    |A0               |    ~     ~            
4249|CD-50 9924                                                            |Star                                  |15 51 49.3221099936 -50 39 45.266575644|329.6398712480819 +02.6122213930694|-26.143 -30.396   |10.38    |G0               |    ~     ~            
4250|CD-50 9926                                                            |Star                                  |15 52 00.5340123384 -50 27 50.536754424|329.7883868695329 +02.7474564722016|  -2.408 -7.470   |10.53    |F8               |    ~     ~            
4251|HD 141562                                                             |Star                                  |15 52 06.5862399768 -51 08 22.503065316|329.3736679258005 +02.2136510040575|  -2.756 -5.743   |7.92     |B7/8II           |    ~     ~            
4252|CD-50 9931                                                            |Star                                  |15 52 23.1330538224 -51 21 40.233880584|329.2670007219663 +02.0146464247286|  -1.709 -1.962   |9.42     |K0               |    ~     ~            
4253|CD-50 9933                                                            |Star                                  |15 52 33.2412178752 -50 45 55.314265104|329.6647302844381 +02.4593309613238|  -0.730 -4.019   |10.66    |A0               |    ~     ~            
4254|CD-50 9934                                                            |Star                                  |15 52 33.5954394552 -50 28 10.517678292|329.8528780043729 +02.6877092933396|  -4.660 -1.608   |10.90    |A2               |    ~     ~            
4255|HD 141704                                                             |Star                                  |15 52 47.4218117952 -51 19 12.542573316|329.3419596771930 +02.0064016466343| -2.803 -10.716   |9.05     |B9V              |    ~     ~            
4256|HD 141725                                                             |Star                                  |15 52 50.8698715848 -50 52 18.326750916|329.6332333911133 +02.3476057540458|  -1.998 -4.283   |9.41     |B9IV             |    ~     ~            
