C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:56:55

dec< 0&rah >=23.5&rah< 23.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2513

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1218|BD-09 6215                                                            |Star                              |23 35 00.3320 -08 12 49.661            |075.6622723 -63.8275617            | 28.924 -20.781   |10.46    |~                    |    ~     ~    |    1|  765.410   pc  | -36.7900    +36.7900  |ST-L    |2020AJ....160...83S
1219|ADS 16824 AB                                                          |Double or Multiple Star           |23 32 46.036 -08 01 24.48              |075.015226 -63.317492              |    25.10 23.50   |9.88     |G2/3V                |    ~     ~    |    0|                |                       |        |                   
1220|BD-08 6150                                                            |Star                              |23 37 38.4992001792 -08 09 56.178537768|076.8607764428908 -64.2177735689333| 17.180 -17.362   |10.39    |~                    |    ~     ~    |    1|  272.953   pc  |  -5.8230     +5.8230  |ST-L    |2020AJ....160...83S
1221|BD-08 6180                                                            |Star                              |23 44 30.6459562536 -08 09 08.159233320|079.9744816954240 -65.2791722715536|-17.132 -17.489   |10.51    |~                    |    ~     ~    |    1|  126.638   pc  |  -0.3897     +0.3897  |paral   |2020yCat.1350....0G
1222|HD 222583                                                             |Star                              |23 41 51.2381671920 -08 21 24.704889696|078.4462519081107 -65.0308720811112|   18.289 1.323   |9.58     |F0V                  |    ~     ~    |    1|  283.275   pc  |  -5.0600     +5.0600  |ST-L    |2020AJ....160...83S
1223|HD 222833                                                             |Star                              |23 44 01.8779204712 -08 16 18.548286708|079.5748060943787 -65.3004675463784| -2.611 -12.660   |9.12     |K1III                |    ~     ~    |    1|  549.028   pc  |  -5.0641     +5.0641  |paral   |2020yCat.1350....0G
1224|BD-08 6170                                                            |High Proper Motion Star           |23 42 05.8407993312 -08 07 44.078174040|078.8950561922094 -64.8912024549808| 16.149 -54.314   |10.95    |~                    |    ~     ~    |    1|  131.489   pc  |  -0.3147     +0.3147  |paral   |2020yCat.1350....0G
1225|HD 222319                                                             |Star                              |23 39 31.6470040632 -05 36 32.107186152|081.2238257305181 -62.5048787199613|  11.382 -8.340   |9.11     |F6V                  |    ~     ~    |    1|  193.244   pc  |  -1.4116     +1.4116  |paral   |2020yCat.1350....0G
1226|HD 222112                                                             |High Proper Motion Star           |23 37 52.8952621728 -05 58 42.107103516|080.0330683808019 -62.5533838118035| 43.267 -53.984   |8.39     |K0III                |    ~     ~    |    1|  156.453   pc  |  -0.7050     +0.7050  |paral   |2020yCat.1350....0G
1227|BD-06 6250                                                            |Star                              |23 38 19.6084064352 -05 59 54.350131452|080.1974572093261 -62.6366396082259|   1.060 -2.872   |10.15    |~                    |    ~     ~    |    1|  968.992   pc  | -33.1448    +33.1448  |paral   |2020yCat.1350....0G
1228|HD 222201                                                             |Star                              |23 38 33.0205542432 -05 59 17.293562592|080.3072186928903 -62.6621724614128|  12.076 -8.214   |9.00     |G8III/IV             |    ~     ~    |    1|  520.156   pc  |  -7.2511     +7.2511  |paral   |2020yCat.1350....0G
1229|BD-06 6252                                                            |Star                              |23 39 14.9343033576 -05 56 59.674062516|080.6593873461970 -62.7366073553942|  16.729 33.096   |10.065   |~                    |    ~     ~    |    1|  284.028   pc  |  -8.5530     +8.5530  |ST-L    |2020AJ....160...83S
1230|BD-07 6061                                                            |Star                              |23 37 41.2911896544 -06 12 50.830926696|079.6367004420328 -62.7105195777692|   31.296 0.149   |10.54    |~                    |    ~     ~    |    1|  229.336   pc  |  -3.4500     +3.4500  |ST-L    |2020AJ....160...83S
1231|BD-07 6064                                                            |Star                              |23 39 27.7 -06 31 30                   |079.9847 -63.2261                  |            ~ ~   |9.8      |~                    |    ~     ~    |    0|                |                       |        |                   
1232|BD-08 6160                                                            |Star                              |23 39 35.8410972648 -07 22 00.180155676|078.8771289065974 -63.9091650095655|  13.158 -1.543   |10.639   |~                    |    ~     ~    |    1|  633.429   pc  | -34.7800    +34.7800  |ST-L    |2020AJ....160...83S
1233|BD-08 6152                                                            |Long-Period Variable Candidate    |23 38 00.5448900384 -07 56 31.724461860|077.3508462515451 -64.1055839248811|   2.756 -0.197   |9.05     |M3/4III              |    ~     ~    |    1|  581.463   pc  | -12.9492    +12.9492  |paral   |2020yCat.1350....0G
1234|BD-08 6155                                                            |Star                              |23 38 23.9350228272 -07 48 38.386189296|077.7131018739518 -64.0662851393824|  21.565 -1.592   |10.69    |~                    |    ~     ~    |    1|  399.808   pc  |  -3.1010     +3.1010  |paral   |2020yCat.1350....0G
1235|HD 222211                                                             |Star                              |23 38 37.2658835520 -07 47 31.781381496|077.8371016534119 -64.0870731894011|  21.841 -4.608   |9.65     |K0/1III              |    ~     ~    |    1|  529.465   pc  |  -4.9058     +4.9058  |paral   |2020yCat.1350....0G
1236|HD 222279                                                             |Star                              |23 39 17.9366323392 -07 58 45.040558836|077.8612696853307 -64.3381533031826| 40.264 -14.987   |9.794    |F6V                  |    ~     ~    |    1|  198.327   pc  |  -2.4920     +2.4920  |ST-L    |2020AJ....160...83S
1237|BD-08 6159                                                            |Star                              |23 39 29.9076508296 -07 30 56.433944880|078.6213076687462 -64.0100467173115| 42.672 -21.302   |10.46    |~                    |    ~     ~    |    1|  271.924   pc  |  -1.5010     +1.5010  |paral   |2020yCat.1350....0G
1238|BD-08 6162                                                            |Star                              |23 39 55.1152429824 -07 36 10.145815344|078.6819363641200 -64.1432082080946| -0.811 -17.405   |10.71    |~                    |    ~     ~    |    1| 1955.034   pc  | -69.1811    +69.1811  |paral   |2020yCat.1350....0G
1239|BD-08 6161                                                            |Star                              |23 39 39.6757603056 -07 31 36.345846036|078.6772319003328 -64.0439761715235| 21.128 -18.467   |10.617   |~                    |    ~     ~    |    1|  322.678   pc  |  -6.3730     +6.3730  |ST-L    |2020AJ....160...83S
1240|NGC 7721                           NGC 7721                           |Galaxy towards a Group of Galaxies|23 38 48.6179569416 -06 31 04.349189496|079.7107554961697 -63.1214438320602|            ~ ~   |     ~   |~                    |2.340 0.889    |    1|   20.70    Mpc |  -1.40       +1.40    |T-F     |2020ApJ...902..145K
1241|BD-06 6258                                                            |Star                              |23 40 20.7459462648 -05 39 47.054456460|081.5099858153069 -62.6692682536120|  11.417 -4.142   |10.43    |~                    |    ~     ~    |    1|  680.187   pc  | -30.3800    +30.3800  |ST-L    |2020AJ....160...83S
1242|BD-06 6270                                                            |Star                              |23 43 54.8494631424 -05 42 03.447900576|083.0475677333100 -63.2173360523371|  -1.991 -0.378   |10.38    |~                    |    ~     ~    |    1| 1945.147   pc  |-124.1020   +124.1020  |paral   |2020yCat.1350....0G
1243|BD-06 6260                                                            |Spectroscopic Binary              |23 41 28.5324067152 -05 46 03.842401872|081.8714883373589 -62.9195138566902|   4.896 -2.872   |10.68    |~                    |    ~     ~    |    1| 1514.005   pc  | -53.8669    +53.8669  |paral   |2020yCat.1350....0G
1244|BD-06 6265                                                            |Star                              |23 42 54.0 -06 05 52                   |082.0781 -63.3946                  |            ~ ~   |9.5      |~                    |    ~     ~    |    0|                |                       |        |                   
1245|BD-06 6266                                                            |High Proper Motion Star           |23 43 26.5497117840 -06 02 34.266922404|082.3944273050691 -63.4286792193718| 53.283 -11.379   |10.70    |~                    |    ~     ~    |    1|  154.741   pc  |  -0.4406     +0.4406  |paral   |2020yCat.1350....0G
1246|HD 222813                                                             |Star                              |23 43 51.3868633704 -05 57 31.889940264|082.6907218848684 -63.4199297425083|  6.368 -44.705   |9.80     |G8V                  |    ~     ~    |    1|  653.168   pc  |  -6.1008     +6.1008  |paral   |2020yCat.1350....0G
