C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:55:07

Vmag< 11&dec< 0&rah >=7.25&rah< 7.5
-----------------------------------

Number of objects : 10274

  #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
-----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
4089 |CPD-19 2072                                                                                              |Star                          |07 21 32.0415980832 -20 00 54.663299496|234.1002130533581 -02.6692872136889|   -2.387 3.529   |10.60    |B2IV:           |    ~     ~    
4090 |TYC 5969-2179-1                                                                                          |Pulsating Variable            |07 18 46.8834805920 -18 40 30.317146464|232.6104571662581 -02.6166051117155|  -1.714 -1.193   |10.62    |~               |    ~     ~    
4091 |TYC 5970-1535-1                                                                                          |Star                          |07 20 35.8030307952 -18 44 43.947478536|232.8738974384109 -02.2695345227221|   8.687 -5.549   |10.40    |~               |    ~     ~    
4092 |TYC 5970-1564-1                                                                                          |Star                          |07 25 46.0807619976 -18 26 26.478612636|233.1830291967189 -01.0452303745697|  -23.025 9.769   |10.26    |~               |    ~     ~    
4093 |TYC 5970-2022-1                                                                                          |Star                          |07 22 42.5855325744 -18 32 04.840762812|232.9229079274117 -01.7285961557436|   -2.385 6.250   |9.81     |~               |    ~     ~    
4094 |TYC 5970-2122-1                                                                                          |Star                          |07 27 12.7750882320 -18 33 52.781826312|233.4550118369843 -00.8028311775198|  -8.464 -7.022   |10.59    |~               |    ~     ~    
4095 |TYC 5970-2357-1                                                                                          |Star                          |07 22 01.4264319528 -18 35 35.034401976|232.8979030818893 -01.8995185879778|   -5.173 0.762   |10.71    |~               |    ~     ~    
4096 |TYC 5970-2475-1                                                                                          |Star                          |07 23 11.4480930936 -18 39 43.441267032|233.0890537587659 -01.6881044883413|-19.832 -42.793   |10.20    |~               |    ~     ~    
4097 |TYC 5970-2490-1                                                                                          |Star                          |07 27 35.7077966856 -18 36 54.732578940|233.5426153300649 -00.7472976625895|   -2.717 3.216   |10.96    |~               |    ~     ~    
4098 |TYC 5970-2522-1                                                                                          |Star                          |07 26 39.3330731424 -18 35 27.594832740|233.4152960166491 -00.9315246390341|   -3.875 2.560   |10.21    |~               |    ~     ~    
4099 |TYC 5970-2590-1                                                                                          |Star                          |07 20 47.5936876800 -18 40 58.393846776|232.8403259563221 -02.1990700461228|   -3.857 0.502   |10.57    |~               |    ~     ~    
