C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:50:25

Vmag< 11&dec< 0&rah >=1.75&rah< 2.0
-----------------------------------

Number of objects : 2401

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
1233|BD-04 288                                                             |High Proper Motion Star        |01 52 09.3060149112 -03 50 35.897379072|157.4806896796232 -62.5693965733442|-46.613 -50.647   |9.88     |~               |    ~     ~    
1234|BD-03 270                                                             |Red Giant Branch star          |01 52 21.7351817904 -02 50 42.805821804|156.5105172106433 -61.6788196770253|   1.756 -2.934   |10.72    |~               |    ~     ~    
1235|BD-05 332                                                             |Star                           |01 52 27.7933220160 -04 29 02.229779220|158.3428458989169 -63.0805754194653|-24.518 -19.889   |10.88    |~               |    ~     ~    
1236|G 159-5                                                               |High Proper Motion Star        |01 52 10.4745920669 -02 48 18.063920044|156.3828486841423 -61.6668730480172|-67.960 -236.307  |10.863   |~               |    ~     ~    
1237|BD-04 268                                                             |Star                           |01 45 42.9439767912 -03 19 05.818311804|153.8560129776547 -62.8843265137332|  32.464 -1.273   |10.456   |~               |    ~     ~    
1238|TYC 4686-944-1                                                        |Star                           |01 50 42.8108947752 -02 33 51.254284392|155.4649536496619 -61.6333399508226|   10.554 4.081   |10.87    |~               |    ~     ~    
1239|TYC 4686-1578-1                                                       |High Proper Motion Star        |01 45 02.0841323880 -02 45 17.203479336|152.9707805510088 -62.4585469907842|148.793 -78.782   |10.68    |~               |    ~     ~    
1240|BD-05 334                                                             |Star                           |01 53 20.5414585128 -04 50 22.244660088|159.1684929782786 -63.2692278517487| 25.087 -27.402   |10.83    |~               |    ~     ~    
1241|BD-05 359                                                             |Star                           |01 58 49.0220864304 -04 48 10.373635584|161.6369403877909 -62.4973210974151|   5.725 -1.932   |10.6     |A0              |    ~     ~    
1242|HD 12143                                                              |Star                           |01 59 05.4831570696 -04 41 56.611605444|161.6341854618627 -62.3730248442662|  7.671 -12.279   |9.21     |F7V             |    ~     ~    
1243|BD-05 342                                                             |Star                           |01 55 01.3999258680 -04 54 49.082358312|160.0413609145049 -63.1085407215544|  0.447 -48.227   |10.40    |~               |    ~     ~    
1244|BD-05 343                                                             |Star                           |01 55 39.5252753544 -04 50 33.246179700|160.2504469280758 -62.9632315011325| 14.045 -12.621   |10.55    |~               |    ~     ~    
1245|BD-05 344                                                             |Star                           |01 55 51.3690642984 -04 52 45.054602940|160.3850229900935 -62.9673254190626|   4.975 10.940   |10.24    |~               |    ~     ~    
1246|HD 11479                                                              |High Proper Motion Star        |01 52 47.0649006576 -03 07 05.077761456|156.9901340161717 -61.8634669102129|   65.611 3.202   |8.67     |G5IV/V          |    ~     ~    
1247|BD-03 272                                                             |Star                           |01 52 41.0982827400 -02 30 45.618831648|156.3149649339011 -61.3495973837355|   39.681 0.759   |10.34    |~               |    ~     ~    
1248|BD-03 274                                                             |Red Giant Branch star          |01 53 10.0593898536 -02 33 31.956915456|156.5811977340574 -61.3305245531836|    1.464 1.769   |10.171   |~               |    ~     ~    
1249|BD-04 293                                                             |High Proper Motion Star        |01 53 37.9670808528 -03 33 01.813221648|157.8443120066793 -62.1298938179236| 61.635 -23.707   |10.32    |~               |    ~     ~    
1250|BD-03 276                                                             |Red Giant Branch star          |01 54 14.7234399888 -02 29 58.163205984|157.0055611005085 -61.1453599169481|   6.940 -4.591   |9.829    |~               |    ~     ~    
1251|BD-04 295                                                             |Star                           |01 54 19.9949949672 -03 28 03.345175668|158.0741614701471 -61.9692127477128|  46.782 -1.294   |10.411   |~               |    ~     ~    
1252|BD-04 296                                                             |Star                           |01 54 23.1412143120 -03 40 41.858722056|158.3296128723376 -62.1430964065572|   22.608 1.424   |10.335   |~               |    ~     ~    
1253|BD-05 341                                                             |Star                           |01 54 51.3741383616 -04 31 54.350460660|159.5142211812267 -62.8083335185031|  -16.554 6.185   |10.68    |~               |    ~     ~    
1254|BD-04 292                                                             |Red Giant Branch star          |01 52 52.3339583856 -03 32 06.368623080|157.4773911793772 -62.2130320437996|  20.752 -7.326   |10.87    |~               |    ~     ~    
1255|HD 11740                                                              |Star                           |01 55 09.8819895336 -03 02 29.774266260|157.9893583222410 -61.4970648245677| 10.719 -12.983   |9.18     |F5V             |    ~     ~    
1256|HD 11752                                                              |Star                           |01 55 12.6687759216 -02 40 38.468780832|157.6232336327915 -61.1777295095449| 13.724 -11.234   |9.57     |G2V             |    ~     ~    
1257|BD-03 283                                                             |Red Giant Branch star          |01 55 56.5416327744 -03 17 11.431594968|158.6036759273855 -61.6067205736388| -5.730 -10.847   |9.72     |G8              |0.0117  0.0    
