C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:42:20

Vmag< 11&dec >=0&rah >=13.0&rah< 13.25
--------------------------------------

Number of objects : 2057

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
413 |HD 113983                                                                                                |Star                           |13 06 24.9101593008 +57 01 30.897759432|118.8574855908668 +59.9843607283338|  15.697 -7.221  |7.49     |G0                |    ~     ~    
414 |HD 114446                                                                                                |High Proper Motion Star        |13 09 33.2145672264 +56 50 00.126427200|117.9575467323928 +60.1195751611960| -87.296 51.812  |7.021    |F9IV-V            |    ~     ~    
415 |HD 238202                                                                                                |Star                           |13 10 37.2461733600 +56 49 26.355950904|117.6649561511463 +60.1076633253925|  -31.061 4.541  |10.80    |K                 |    ~     ~    
416 |HD 238181                                                                                                |Star                           |13 00 38.4853333536 +56 10 05.196428688|120.2965772003114 +60.9130240118406|-12.049 -32.081  |9.63     |F8                |    ~     ~    
417 |HD 238184                                                                                                |Star                           |13 02 27.6486021888 +56 04 26.732317080|119.7604701216315 +60.9862315445337|   7.583 17.155  |9.77     |F8                |    ~     ~    
418 |BD+56 1637                                                                                               |Star                           |13 03 02.8823270472 +55 20 27.033597312|119.4485369517567 +61.7088157045217|   2.720 -2.303  |10.58    |K2                |    ~     ~    
419 |BD+56 1638                                                                                               |High Proper Motion Star        |13 04 11.0099609568 +55 43 25.372658352|119.1929189318369 +61.3119116674761| -89.205 43.543  |10.32    |G0                |    ~     ~    
420 |BD+57 1416                                                                                               |Star                           |13 04 19.1425257240 +56 15 42.857474256|119.2681714590740 +60.7746216208130|  -6.855 -0.604  |10.43    |~                 |    ~     ~    
421 |TYC 3846-115-1                                                                                           |Spectroscopic Binary           |13 04 59.9500561056 +55 26 52.080382320|118.8915609623629 +61.5739386215431|  -17.858 7.741  |10.87    |~                 |    ~     ~    
422 |TYC 3846-263-1                                                                                           |Star                           |13 06 09.8152548072 +56 07 08.664245832|118.7126734355830 +60.8883802858172|  -2.086 -1.664  |10.35    |~                 |    ~     ~    
