C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:31:36

dec >=0&rah >=8.5&rah< 8.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3892

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |    ang. size    |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|-----------------|-----|----------------|-----------------------|--------|-------------------
78  |BD+77 332                                                                                                |Red Giant Branch star Candidate    |08 32 26.8218705456 +77 20 28.855082076|136.4293743854765 +31.8773424076952| -2.849 -24.386   |9.80     |K2                   |    ~     ~      |    1|  597.122   pc  |  -4.7422     +4.7422  |paral   |2020yCat.1350....0G
79  |HD 71087                                                                                                 |Double or Multiple Star            |08 33 30.5497637681 +77 27 34.112080338|136.2757120609472 +31.8942286312275|-13.365 -25.047   |9.093    |K0                   |    ~     ~      |    1|  368.718   pc  |  -5.0846     +5.0846  |paral   |2018yCat.1345....0G
80  |BD+77 335                                                                                                |Star                               |08 34 59.0351743440 +76 43 01.905118428|137.0728963032574 +32.2124309836049|  -41.122 1.674   |9.85     |F5                   |    ~     ~      |    1|  188.797   pc  |  -0.5667     +0.5667  |paral   |2020yCat.1350....0G
81  |TYC 4540-491-1                                                                                           |Star                               |08 35 22.0103814864 +77 21 33.357862764|136.3482133478144 +32.0227068147117|-13.434 -26.563   |10.12    |F8                   |    ~     ~      |    1|  288.492   pc  |  -1.1485     +1.1485  |paral   |2020yCat.1350....0G
82  |BD+77 336                                                                                                |Star                               |08 36 51.5246997216 +77 20 54.132546084|136.3281387904735 +32.1033102540474|-17.606 -17.236   |9.82     |F5                   |    ~     ~      |    1|  323.227   pc  |  -1.4522     +1.4522  |paral   |2020yCat.1350....0G
83  |HD 71827                                                                                                 |High Proper Motion Star            |08 37 14.4472761336 +77 02 48.439277484|136.6552030825228 +32.2247307742999|  55.936 73.504   |7.29     |F8                   |    ~     ~      |    1|   44.038   pc  |  -0.0574     +0.0574  |paral   |2020yCat.1350....0G
84  |NGC 2591                           NGC 2591                                                              |Galaxy towards a Group of Galaxies |08 37 25.529 +78 01 35.17              |135.564503 +31.900041              |            ~ ~   |     ~   |~                    |2.093 0.419      |    1|   19.50    Mpc |  -2.63       +2.63    |T-F     |2020ApJ...902..145K
85  |TYC 4540-415-1                                                                                           |Star                               |08 38 58.0890445176 +77 19 52.492257696|136.3005190849688 +32.2177865340067|  -5.146 -9.579   |10.56    |~                    |    ~     ~      |    1|  190.880   pc  |  -2.7326     +2.7326  |paral   |2020yCat.1350....0G
86  |TYC 4540-460-1                                                                                           |Star                               |08 38 55.7275485984 +77 18 36.708153876|136.3247505597343 +32.2230371239908|  -4.255 -9.777   |10.47    |~                    |    ~     ~      |    1|  780.396   pc  |  -7.6736     +7.6736  |paral   |2020yCat.1350....0G
87  |TYC 4540-475-1                                                                                           |Star                               |08 35 48.1044321552 +77 14 05.807958252|136.4772628667805 +32.0864564660689|-20.384 -39.189   |10.76    |~                    |    ~     ~      |    1|  297.850   pc  |  -1.0734     +1.0734  |paral   |2020yCat.1350....0G
88  |TYC 4540-501-1                                                                                           |Spectroscopic Binary               |08 37 48.1965483264 +77 06 22.816599588|136.5763918953047 +32.2342493354377|-20.206 -19.495   |10.51    |~                    |    ~     ~      |    1|  258.365   pc  |  -5.7474     +5.7474  |paral   |2020yCat.1350....0G
89  |TYC 4540-1024-1                                                                                          |Star                               |08 31 31.3027002888 +76 57 05.664343392|136.8843070184558 +31.9511608814267| 40.407 -17.775   |10.81    |~                    |    ~     ~      |    1|  206.748   pc  |  -0.4616     +0.4616  |paral   |2020yCat.1350....0G
