C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:40:02

Vmag< 11&dec >=0&rah >=6.25&rah< 6.5
------------------------------------

Number of objects : 7649

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
3049|TYC 731-3654-1                                                        |Star                           |06 15 30.6813366600 +08 28 55.464680856|201.2674493888278 -04.0235078838618|   0.784 -1.499   |10.88    |~              |    ~     ~    
3050|TYC 734-1353-1                                                        |Star                           |06 15 02.0744746632 +09 57 37.079993340|199.9068447227593 -03.4272002870217|  39.451 21.331   |9.94     |~              |    ~     ~    
3051|TYC 734-1771-1                                                        |Star                           |06 15 05.3953883544 +09 58 47.552475756|199.8960555421539 -03.4059178576833|-40.287 -24.208   |9.28     |~              |    ~     ~    
3052|TYC 734-2208-1                                                        |Star                           |06 15 13.7996198016 +10 20 59.711272620|199.5861324010636 -03.2000361259683|  -8.985 -3.393   |9.87     |~              |    ~     ~    
3053|TYC 734-2333-1                                                        |Star                           |06 15 02.8143620904 +09 36 16.946373852|200.2219546271842 -03.5931322292384|  -0.455 -2.294   |9.68     |~              |    ~     ~    
3054|TYC 735-74-1                                                          |Star                           |06 19 17.5633077768 +09 43 29.885106144|200.6109209500734 -02.6140804473949|   0.394 -1.755   |10.79    |~              |    ~     ~    
3055|TYC 735-108-1                                                         |Star                           |06 19 27.7483550088 +10 35 29.884657092|199.8654939341877 -02.1689235243692| -4.669 -14.473   |10.47    |~              |    ~     ~    
3056|TYC 735-226-1                                                         |Star                           |06 18 26.6611218888 +11 09 21.491356356|199.2495562203232 -02.1230280428119|  -1.996 -4.420   |10.17    |~              |    ~     ~    
3057|TYC 735-295-1                                                         |Star                           |06 17 37.0041903360 +11 08 56.962817088|199.1595304638850 -02.3051310934810|    0.306 2.733   |10.26    |~              |    ~     ~    
3058|TYC 735-343-1                                                         |Star                           |06 18 35.5023353088 +11 08 26.235942576|199.2801773045583 -02.0984203396355|   1.106 -2.126   |10.71    |~              |    ~     ~    
3059|TYC 735-391-1                                                         |Star                           |06 20 48.1227256920 +11 10 12.004918752|199.5099467473017 -01.6064392570791|  10.578 -2.897   |9.92     |~              |    ~     ~    
3060|TYC 735-395-1                                                         |Star                           |06 17 30.7136713416 +09 28 44.429583720|200.6208580852911 -03.1171626502498|   1.127 -2.332   |10.32    |~              |    ~     ~    
3061|TYC 735-470-1                                                         |Star                           |06 19 24.7456597056 +09 36 43.388036424|200.7245467187708 -02.6412215958281|  -1.167 -1.171   |10.17    |~              |    ~     ~    
3062|TYC 735-550-1                                                         |Star                           |06 15 53.9705114784 +11 07 18.355662192|198.9839260569209 -02.6890609155996|  -7.297 -5.817   |9.87     |~              |    ~     ~    
3063|TYC 735-600-1                                                         |Star                           |06 20 39.8312084352 +09 38 50.048294568|200.8386815541943 -02.3524723338459|   9.361 -4.063   |9.26     |~              |    ~     ~    
3064|TYC 735-607-1                                                         |Star                           |06 19 07.8673324896 +11 01 04.154226636|199.4510156904600 -02.0397148961443|  -0.400 -1.172   |9.60     |~              |    ~     ~    
3065|TYC 735-685-1                                                         |Star                           |06 15 52.5824561424 +11 02 28.139240724|199.0522747106448 -02.7323045357165|   5.430 -2.614   |10.28    |~              |    ~     ~    
3066|TYC 735-698-1                                                         |Star                           |06 19 29.4921585840 +09 26 17.021351436|200.8874158116582 -02.7059099211041|   -2.672 1.791   |10.32    |~              |    ~     ~    
3067|TYC 735-744-1                                                         |Star                           |06 19 54.9804973320 +09 43 28.447212072|200.6836767904165 -02.4786919927113|   0.661 -0.866   |10.96    |~              |    ~     ~    
3068|TYC 735-746-1                                                         |Star                           |06 17 17.1018475368 +09 32 07.308505068|200.5446549947639 -03.1398615508247|   2.178 -2.518   |9.82     |~              |    ~     ~    
3069|TYC 735-753-1                                                         |Star                           |06 17 56.6450025792 +10 44 30.736952304|199.5567420846064 -02.4269042108736|   8.625 -3.104   |10.58    |~              |    ~     ~    
3070|TYC 735-773-1                                                         |Star                           |06 19 18.8504488488 +10 33 30.133198944|199.8776618077057 -02.2167451169350|  -2.522 -4.691   |10.77    |~              |    ~     ~    
3071|TYC 735-822-1                                                         |Star                           |06 21 05.6074650312 +09 25 43.511675700|201.0815180094035 -02.3615833515201|  -1.398 -7.135   |9.88     |~              |    ~     ~    
3072|TYC 735-861-1                                                         |Star                           |06 19 24.4068047808 +10 39 31.829315688|199.7997240656563 -02.1493151647232|-41.446 -26.730   |9.97     |~              |    ~     ~    
3073|TYC 735-884-1                                                         |Star                           |06 17 54.5608455648 +09 39 56.207381472|200.5024273905924 -02.9427069404528|   3.774 -3.171   |10.89    |~              |    ~     ~    
3074|TYC 735-1052-1                                                        |Star                           |06 18 16.7690937552 +09 26 07.512852228|200.7487735125749 -02.9708267661156|   1.427 -4.527   |10.58    |~              |    ~     ~    
