C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:30:19

Vmag< 11&dec >=0&rah >=18.5&rah< 18.75
--------------------------------------

Number of objects : 6698

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
3824|HD 342370                                                             |Star                           |18 30 56.1421272384 +22 54 14.963676804|051.5367504678982 +14.5192983642343|   1.848 -1.071   |10.48    |K0              |    ~     ~    
3825|HD 342367                                                             |Star                           |18 30 00.9530418744 +23 00 57.804818004|051.5548978676888 +14.7581410170322|    3.350 4.306   |10.67    |K0              |    ~     ~    
3826|HD 342365                                                             |Star                           |18 30 51.5526370032 +23 06 29.323955988|051.7224808814596 +14.6173191614606|   5.084 -2.041   |10.39    |F8              |    ~     ~    
3827|HD 342352                                                             |Star                           |18 30 53.7988558656 +23 19 22.301139936|051.9293874141657 +14.6954684282302|   4.939 -2.050   |10.46    |K2              |    ~     ~    
3828|HD 342350                                                             |Star                           |18 30 03.5439549936 +23 28 25.305431592|051.9930063516855 +14.9319000020434|  -4.441 -4.343   |10.60    |M0              |    ~     ~    
3829|HD 342340                                                             |Star                           |18 30 16.3495799112 +23 39 09.229120092|052.1829748563769 +14.9583155508712| -0.390 -10.460   |10.55    |G5              |    ~     ~    
3830|HD 342338                                                             |Star                           |18 30 28.8109723795 +23 33 58.729731907|052.1207337486858 +14.8803067357418| 18.676 -14.115   |10.84    |G5              |    ~     ~    
3831|HD 342336                                                             |Star                           |18 30 49.7508435192 +23 49 04.827621396|052.3925481297638 +14.9073451196638|  -5.937 -6.603   |10.88    |K0              |    ~     ~    
3832|HD 342325                                                             |Star                           |18 30 35.1774222888 +23 59 45.069636444|052.5385909188359 +15.0290203354075|-10.616 -30.039   |10.44    |F8              |    ~     ~    
3833|HD 342381                                                             |Star                           |18 30 46.2487760712 +22 34 41.948974524|051.2128894082503 +14.4229700634236| 22.026 -19.750   |10.89    |G0              |    ~     ~    
3834|HD 342366                                                             |Star                           |18 30 43.9770703008 +23 05 26.170782540|051.6938391932016 +14.6368816590015|  20.675 33.767   |9.15     |G5              |    ~     ~    
3835|HD 342368                                                             |Star                           |18 30 51.7057270464 +22 57 05.454321804|051.5744858078337 +14.5539165676062|   7.561 -8.854   |10.18    |G5              |    ~     ~    
3836|HD 342369                                                             |Star                           |18 31 07.3889204736 +22 54 10.284480612|051.5534469002112 +14.4792509532124|   -0.214 9.869   |9.45     |K0              |    ~     ~    
3837|HD 342477                                                             |Star                           |18 31 22.3238110344 +23 02 54.181555692|051.7148572808153 +14.4852972891457|  -1.265 -7.938   |10.45    |A7              |    ~     ~    
3838|HD 342499                                                             |Star                           |18 31 34.6783152792 +22 27 15.930374976|051.1735616518489 +14.2024133523139|  -1.994 14.190   |9.43     |K0              |    ~     ~    
3839|HD 342497                                                             |Star                           |18 31 54.5855942112 +22 32 44.839773240|051.2917136470400 +14.1692704281033|    2.844 0.759   |9.77     |A5              |    ~     ~    
3840|HD 342496                                                             |Star                           |18 31 59.2067998152 +22 30 15.956591688|051.2601279848722 +14.1362751242475|  -1.067 -0.158   |10.31    |F0              |    ~     ~    
3841|HD 342484                                                             |Star                           |18 33 33.1234195080 +22 52 21.924361200|051.7579720553843 +13.9552775369123|-20.955 -10.600   |10.44    |K0              |    ~     ~    
3842|HD 342354                                                             |Star                           |18 30 33.6554219400 +23 17 34.688604012|051.8691716338179 +14.7541491756612|   12.523 6.662   |9.88     |G0              |    ~     ~    
3843|HD 342444                                                             |Star                           |18 31 27.8517176736 +23 33 51.030061632|052.2118545658092 +14.6727340507393|  -7.240 -3.521   |10.66    |F2              |    ~     ~    
3844|HD 342443                                                             |Star                           |18 31 29.8681925952 +23 36 55.202490612|052.2635091756391 +14.6861384172780|  -17.578 2.425   |9.68     |K0              |    ~     ~    
3845|HD 342442                                                             |Star                           |18 31 53.6003476752 +23 51 21.265903548|052.5288887601442 +14.6993103104162|   9.889 23.454   |10.50    |G0              |    ~     ~    
3846|HD 342437                                                             |High Proper Motion Star        |18 32 47.6317207224 +23 52 56.905311180|052.6391426309930 +14.5212426455539|  64.577 37.184   |10.59    |G0              |    ~     ~    
