C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:12:37

Vmag< 11&dec >=0&rah >=17.0&rah< 17.25
--------------------------------------

Number of objects : 3887

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type      |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------------|---------------
2623|BD+26 2942                                                            |Star                           |17 04 18.9976995024 +26 25 40.060403400|047.7923121094442 +34.1970577723256|  12.210 -4.746    |9.28     |F2                   |    ~     ~    
2624|BD+26 2943                                                            |Star                           |17 04 37.3997511936 +26 37 04.008031788|048.0359797802818 +34.1837717108411| -10.297 -2.601    |9.71     |F2                   |    ~     ~    
2625|BD+26 2944                                                            |Spectroscopic Binary           |17 05 03.6374264832 +26 16 25.125555540|047.6697559819691 +33.9939779618311| 15.430 -20.310    |9.01     |F2                   |    ~     ~    
2626|HD 154617                                                             |Star                           |17 05 35.7962580000 +26 27 39.023334756|047.9269337959483 +33.9310802045612|  -15.839 1.554    |8.08     |F5IV                 |    ~     ~    
2627|BD+25 3194                                                            |Star                           |17 05 19.5740927112 +25 33 50.471482932|046.8709012577473 +33.7348914329910|   1.180 -0.861    |9.06     |G5                   |    ~     ~    
2628|BD+25 3195                                                            |Star                           |17 05 19.1337362016 +25 38 34.657531296|046.9612450208649 +33.7592067676710|  7.183 -12.600    |9.62     |K5                   |    ~     ~    
2629|BD+25 3196                                                            |Star                           |17 05 35.7344513880 +24 55 26.396098860|046.1572063363322 +33.4898054003479|    2.372 6.782    |9.74     |F0                   |    ~     ~    
2630|HD 154635                                                             |Star                           |17 05 41.8855717248 +25 30 25.254162828|046.8344357758690 +33.6381167471177|  -11.155 5.989    |8.02     |K0II                 |    ~     ~    
2631|BD+27 2758                                                            |Star                           |17 06 08.7154351632 +27 07 58.894854852|048.7466919575349 +33.9987199737796| 12.337 -22.873    |10.95    |G0                   |    ~     ~    
2632|HD 154860                                                             |Star                           |17 06 54.5680076088 +27 00 34.307122572|048.6596384884902 +33.8013075543900|  17.959 10.341    |9.10     |K0                   |    ~     ~    
2633|HD 154987                                                             |Star                           |17 07 46.6486636944 +27 08 16.396226700|048.8718142219102 +33.6507395901178| -42.629 21.566    |7.98     |F0                   |    ~     ~    
2634|HD 155025                                                             |Star                           |17 07 59.1492910776 +27 06 05.040182520|048.8449720937840 +33.5961412770143| -11.578 15.091    |7.66     |F2                   |    ~     ~    
2635|BD+27 2767                                                            |Double or Multiple Star        |17 09 25.4124321888 +26 53 38.007189492|048.7123661897839 +33.2309358269483| -7.396 -16.522    |9.837    |K2                   |    ~     ~    
2636|BD+27 2768                                                            |Star                           |17 09 30.7951085232 +27 13 29.517633192|049.0993166490831 +33.3035103796206|  -6.069 24.784    |9.84     |F8                   |    ~     ~    
2637|BD+27 2769                                                            |Star                           |17 09 38.7040655736 +27 13 29.975083608|049.1091255047843 +33.2753773289272|  -5.867 24.466    |9.37     |F5                   |    ~     ~    
2638|BD+27 2774                                                            |Star                           |17 11 00.8177437896 +27 10 40.924534188|049.1558275042289 +32.9699688232504|  -2.969 -1.871    |9.27     |G0                   |    ~     ~    
2639|BD+27 2776                                                            |Star                           |17 11 51.3827173032 +27 19 13.915437132|049.3808187000525 +32.8296014879110| 13.695 -22.062    |10.70    |F8                   |    ~     ~    
2640|BD+27 2777                                                            |Star                           |17 11 53.1956598936 +27 11 13.398419616|049.2305025339255 +32.7860183564345|    0.460 0.377    |9.09     |K2                   |    ~     ~    
2641|BD+27 2778                                                            |Star                           |17 11 59.0185382376 +27 12 27.309188196|049.2611102704832 +32.7710201201866|  -3.423 11.549    |9.46     |K7                   |    ~     ~    
2642|TYC 2069-1818-1                                                       |Star                           |17 14 12.5437715811 +27 30 44.880012818|049.7719713903329 +32.3814247055005|    7.760 4.393    |10.60    |G0                   |    ~     ~    
2643|BD+26 2947                                                            |Star                           |17 05 49.7156921952 +26 27 35.985990708|047.9434224615283 +33.8809870305047|  -2.065 -7.806    |8.91     |K0                   |    ~     ~    
2644|BD+26 2948                                                            |Star                           |17 06 04.3433980464 +26 46 31.808229600|048.3268163967174 +33.9162721091586|   1.944 -2.737    |8.78     |K5                   |    ~     ~    
2645|BD+26 2949                                                            |Star                           |17 06 08.1071582952 +26 41 42.893983608|048.2385700457983 +33.8806104615354|-20.230 -17.794    |8.76     |M0                   |    ~     ~    
2646|BD+26 2950                                                            |Star                           |17 06 18.3728361816 +26 12 14.562505872|047.6840217555964 +33.7063699558217|   2.676 -6.460    |9.30     |F8                   |    ~     ~    
2647|BD+26 2951                                                            |Star                           |17 06 17.2578794640 +26 40 06.266593776|048.2188941634303 +33.8404345708999|    7.969 2.117    |9.12     |K0                   |    ~     ~    
2648|HD 154760                                                             |Double or Multiple Star        |17 06 17.8269798 +26 31 04.415904      |048.0456012610 +33.7964928880      |    -26.83 1.03    |8.69     |G2V                  |0.0083  0.0    
2649|BD+26 2954                                                            |Star                           |17 06 43.1089918416 +25 57 09.896631840|047.4262639570992 +33.5461973175946|   -6.396 0.176    |8.69     |K0                   |    ~     ~    
