C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:49:21

dec< 0&rah >=5.0&rah< 5.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 4311

 #  |                                                                 identifier                                                                 |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
3638|HD 268808                                                                                                                                   |Star                               |05 00 27.4870293432 -66 11 46.438460844|276.8152302287900 -35.7618347282364|  16.145 27.413    |10.443   |K0             |    ~     ~    |    1|  429.249   pc  |  -9.9320     +9.9320    |ST-L    |2020AJ....160...83S
3639|HD 268822                                                                                                                                   |Star                               |05 00 40.8655620648 -66 28 30.510778440|277.1419256378715 -35.6727546601379|    1.665 0.102    |10.67    |G5I            |    ~     ~    |    1|14039.500   pc  |-3533.0000   +3533.0000  |ST-L    |2020AJ....160...83S
3640|HD 268821                                                                                                                                   |Star                               |05 00 48.1013828448 -66 20 41.645047776|276.9827462074906 -35.6925265800997|   -3.408 6.704    |10.39    |F5             |    ~     ~    |    1|  492.422   pc  | -12.9300    +12.9300    |ST-L    |2020AJ....160...83S
3641|HD 33043                                                                                                                                    |Star                               |05 02 24.3442224000 -66 43 02.704410732|277.3803570636253 -35.4482443550137|  -11.859 4.998    |9.42     |F0V            |    ~     ~    |    1|  297.354   pc  |  -1.0433     +1.0433    |paral   |2020yCat.1350....0G
3642|HD 268879                                                                                                                                   |Star                               |05 02 57.6786913704 -66 22 18.138167292|276.9518512076163 -35.4758155307383|   -2.690 6.840    |10.39    |K2             |    ~     ~    |    1|  748.391   pc  |  -6.8331     +6.8331    |paral   |2020yCat.1350....0G
3643|HD 268904                                                                                                                                   |High Proper Motion Star            |05 03 30.3001512864 -66 35 19.846780728|277.1955899832838 -35.3726496482329|  25.688 97.133    |10.624   |G5             |    ~     ~    |    1|  225.614   pc  |  -2.4380     +2.4380    |ST-L    |2020AJ....160...83S
3644|HD 268908                                                                                                                                   |Star                               |05 03 32.2650277368 -66 38 05.309418588|277.2494814434509 -35.3588038571603|   0.403 15.530    |9.91     |K5             |    ~     ~    |    1|  606.816   pc  | -17.8600    +17.8600    |ST-L    |2020AJ....160...83S
3645|HD 268946                                                                                                                                   |Evolved Supergiant                 |05 05 12.2203060992 -66 44 12.572004624|277.3246940705242 -35.1749405195733|    1.695 0.066    |10.42    |A0Ia           |    ~     ~    |    0|                |                         |        |                   
3646|HD 268954                                                                                                                                   |Star                               |05 06 02.3224647552 -66 14 00.121260588|276.7014040350656 -35.2056164277531|   0.205 13.826    |10.901   |K2             |    ~     ~    |    1|  662.183   pc  | -26.3800    +26.3800    |ST-L    |2020AJ....160...83S
3647|HD 33578                                                                                                                                    |Double or Multiple Star            |05 06 21.3341 -65 58 00.373            |276.3742710 -35.2316801            |-35.972 -11.177    |8.75     |G8III/IV       |    ~     ~    |    0|                |                         |        |                   
