C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:35:42

dec >=0&rah >=16.25&rah< 16.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3354

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
2471|TYC 2580-2427-1                                                                                                                             |Star                                |16 16 54.7442133816 +30 17 32.625090816|049.6904248066897 +45.2159268787542|  2.159 -22.904   |9.80     |~              |    ~     ~    |    1|  597.764   pc  |  -5.9315     +5.9315  |paral   |2020yCat.1350....0G
2472|HD 147250                                                                                                                                   |Spectroscopic Binary                |16 19 37.2608658984 +30 13 51.558748824|049.7400910385514 +44.6288864330480|   0.681 12.340   |9.03     |K0             |    ~     ~    |    1|  219.063   pc  |  -2.4330     +2.4330  |paral   |2020yCat.1350....0G
2473|HD 147366                                                                                                                                   |High Proper Motion Star             |16 20 25.3413801264 +30 30 34.646359968|050.1657995700084 +44.5042732305333| -81.567 30.928   |8.48     |G5             |    ~     ~    |    1|  137.419   pc  |  -5.9126     +5.9126  |paral   |2020yCat.1350....0G
2474|BD+30 2791                                                                                                                                  |High Proper Motion Star             |16 18 56.7110384640 +29 44 21.984219492|049.0241208877974 +44.6895693591829| -26.201 55.759   |9.41     |F8             |    ~     ~    |    1|   91.521   pc  |  -0.1047     +0.1047  |paral   |2020yCat.1350....0G
2475|StKM 1-1326                                                                                                                                 |Star                                |16 18 55.9343672760 +29 55 01.074411192|049.2694979720790 +44.7228767503930|   -5.191 1.056   |10.49    |K4             |    ~     ~    |    1| 1131.606   pc  | -19.0799    +19.0799  |paral   |2020yCat.1350....0G
2476|BD+31 2844                                                                                                                                  |Star                                |16 21 55.9709149416 +31 12 31.131934668|051.2036731742004 +44.2948815427081|    9.685 1.769   |9.60     |F8             |    ~     ~    |    1|  146.929   pc  |  -0.2828     +0.2828  |paral   |2020yCat.1350....0G
2477|* ksi CrB                                                                                                                                   |Double or Multiple Star             |16 22 05.8238662920 +30 53 31.185448080|050.7747225667721 +44.2105793110273|-97.373 107.313   |4.849    |G9IIIFe-0.5    |    ~     ~    |    1|   58.167   pc  |  -0.2778     +0.2778  |paral   |2020yCat.1350....0G
2478|BD+31 2849                                                                                                                                  |Star                                |16 24 47.5803179784 +30 49 28.691727060|050.8125980462902 +43.6287368963795|   -2.359 1.049   |10.52    |M0             |    ~     ~    |    1| 1957.330   pc  | -54.7853    +54.7853  |paral   |2020yCat.1350....0G
2479|BD+31 2851                                                                                                                                  |Star                                |16 26 33.0513149208 +31 18 02.646049248|051.5442918536454 +43.3346040658228| -2.785 -45.441   |10.69    |K2             |    ~     ~    |    1|  363.399   pc  |  -1.6243     +1.6243  |paral   |2020yCat.1350....0G
2480|BD+31 2852                                                                                                                                  |High Proper Motion Star             |16 27 25.9107109032 +30 45 12.734086104|050.8467376778242 +43.0581064143737|-43.630 -43.751   |9.51     |K0             |    ~     ~    |    1|  562.588   pc  |  -3.6398     +3.6398  |paral   |2020yCat.1350....0G
2481|BD+31 2853                                                                                                                                  |Double or Multiple Star             |16 28 21.0603603840 +31 08 08.928308184|051.4072006052992 +42.9280138290970|-39.341 -11.773   |9.85     |G0             |    ~     ~    |    1|  264.774   pc  |  -8.0832     +8.0832  |paral   |2020yCat.1350....0G
2482|BD+31 2853B                                                                                                                                 |Star                                |16 28 20.8066737445 +31 08 30.245524882|051.4149715336489 +42.9298866694220| -37.426 -9.097   |10.76    |G5             |    ~     ~    |    0|                |                       |        |                   
2483|BD+30 2796                                                                                                                                  |High Proper Motion Star             |16 21 35.1124324968 +30 21 03.309546348|050.0047619422673 +44.2308362609621| 33.240 -53.184   |9.28     |K0             |    ~     ~    |    1|  247.427   pc  |  -0.8020     +0.8020  |paral   |2020yCat.1350....0G
