C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:53:05

Vmag< 11&dec >=0&rah >=2.25&rah< 2.5
------------------------------------

Number of objects : 4895

 #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
4441|TYC 2322-1166-1                                                                                          |Star                          |02 23 32.0715962040 +36 53 19.202150724|142.7112429657017 -22.4205855005970|   11.952 9.798   |10.96    |~                 |    ~     ~    
4442|TYC 2322-1233-1                                                                                          |Star                          |02 22 06.1931939448 +36 36 35.366056596|142.5362967002643 -22.7864715687505| 13.518 -14.458   |10.99    |~                 |    ~     ~    
4443|TYC 2322-1910-1                                                                                          |Star                          |02 23 26.5886267640 +35 53 42.003898548|143.1000916888548 -23.3476110920483|-12.448 -14.077   |10.83    |~                 |    ~     ~    
4444|TYC 2322-2040-1                                                                                          |Star                          |02 19 37.6497550032 +36 05 41.418849300|142.2384511990293 -23.4487784875016|  -8.886 -7.131   |10.81    |~                 |    ~     ~    
4445|TYC 2322-2049-1                                                                                          |Star                          |02 20 31.2185673984 +36 17 31.699490316|142.3424934266384 -23.1992856540432|  -0.629 -0.924   |10.85    |~                 |    ~     ~    
4446|TYC 2323-64-1                                                                                            |Star                          |02 25 17.4424113600 +31 31 27.759713880|145.3700357584315 -27.2257653396025| 14.663 -13.190   |10.75    |~                 |    ~     ~    
4447|TYC 2323-219-1                                                                                           |Star                          |02 26 22.6661769888 +30 22 53.527136376|146.1304928624291 -28.1781845502829|  1.439 -25.500   |10.97    |~                 |    ~     ~    
4448|TYC 2323-282-1                                                                                           |Star                          |02 27 59.7917580240 +31 11 10.463661276|146.1181845449873 -27.3016564727450|  -2.581 -4.926   |10.97    |~                 |    ~     ~    
4449|TYC 2323-952-1                                                                                           |Star                          |02 27 50.6204910024 +31 23 05.623511784|145.9933096187616 -27.1337314644293|   2.404 -5.806   |10.85    |~                 |    ~     ~    
4450|HD 15128B                                                                                                |High Proper Motion Star       |02 27 00.9946076160 +31 17 18.582596844|145.8560295290140 -27.2936691888843| 93.939 -29.082   |9.36     |~                 |    ~     ~    
4451|TYC 2323-1475-1                                                                                          |Star                          |02 27 35.6668480488 +30 48 07.425050436|146.2069206836022 -27.6874301562764|   0.306 -1.570   |10.31    |~                 |    ~     ~    
4452|TYC 2327-253-1                                                                                           |Star                          |02 29 02.7873349056 +33 42 18.168730524|145.2004955439144 -24.9111489298033|  -5.095 -1.639   |10.92    |~                 |    ~     ~    
