C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:56:21

Vmag< 11&dec >=0&rah >=7.5&rah< 7.75
------------------------------------

Number of objects : 5656

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
5090|TYC 1369-870-1                                                                                           |Star                           |07 37 00.7411380840 +18 57 55.565065224|200.5187189049812 +18.3285127301616|-13.344 -27.221   |10.85    |~                 |    ~     ~    
5091|TYC 1369-883-1                                                                                           |Star                           |07 36 43.5360258480 +19 46 28.421972688|199.7061016140741 +18.5836528008274|  -3.532 -2.965   |10.92    |~                 |    ~     ~    
5092|TYC 1369-1158-1                                                                                          |Star                           |07 43 14.1293651712 +19 16 06.540244140|200.8314212752816 +19.8000193824173|  2.227 -12.129   |10.62    |~                 |    ~     ~    
5093|TYC 1369-1167-1                                                                                          |Star                           |07 37 18.3906447264 +19 44 30.852739320|199.7941151867004 +18.6967559255330|  -6.638 -3.966   |10.87    |~                 |    ~     ~    
5094|TYC 1369-1190-1                                                                                          |Star                           |07 36 22.1686265376 +18 54 17.572450932|200.5141612627334 +18.1649321917714|-12.467 -22.151   |10.91    |~                 |    ~     ~    
5095|TYC 1369-1281-1                                                                                          |Star                           |07 43 11.7454192056 +19 47 19.555898820|200.3171865382504 +19.9922956171850|  -3.645 -5.440   |10.93    |~                 |    ~     ~    
5096|TYC 1369-1319-1                                                                                          |Star                           |07 43 30.0678355248 +19 41 38.444288064|200.4396906714654 +20.0221451140944|  -15.436 0.654   |10.88    |~                 |    ~     ~    
5097|TYC 1369-1645-1                                                                                          |Star                           |07 43 46.3640964888 +20 02 15.539279064|200.1278950087000 +20.2130618780190|-16.319 -18.491   |10.83    |~                 |    ~     ~    
5098|TYC 1369-1651-1                                                                                          |Star                           |07 40 26.7893888592 +19 38 09.492564084|200.2013965682440 +19.3364637729216|  -1.174 -8.773   |10.52    |~                 |    ~     ~    
5099|TYC 1369-1878-1                                                                                          |Star                           |07 36 58.9682073480 +18 57 13.252309812|200.5271974273865 +18.3174594379100|  -12.309 2.756   |10.48    |~                 |    ~     ~    
5100|TYC 1369-1905-1                                                                                          |Star                           |07 42 27.5490539760 +19 47 44.038217940|200.2395468421310 +19.8350022048787|   0.668 -4.463   |10.87    |~                 |    ~     ~    
