C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:48:06

Vmag< 11&dec< 0&rah >=19.75&rah< 20.0
-------------------------------------

Number of objects : 4909

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
2955|TYC 9089-980-1                                                        |High Proper Motion Star               |19 50 57.7444112424 -62 41 42.444712248|333.9571638335000 -30.6654488372653| -55.802 29.980   |10.959   |~              |    ~     ~    
2956|TYC 9089-1036-1                                                       |Star                                  |19 47 22.8088188864 -62 28 15.533855148|334.2099174607142 -30.2497355441319| 18.363 -42.476   |10.7     |~              |    ~     ~    
2957|TYC 9089-1193-1                                                       |Star                                  |19 55 21.6265824960 -62 58 51.579458544|333.6222271088831 -31.1665259702409|   1.750 -0.223   |10.81    |~              |    ~     ~    
2958|TYC 9093-98-1                                                         |Star                                  |19 46 06.9224589432 -64 00 41.425443144|332.4249470498936 -30.1348102043760|   0.243 -5.390   |10.726   |~              |    ~     ~    
2959|GSC 09093-00176                                                       |Double or Multiple Star               |19 46 06.388176 -64 09 00.05004        |332.264792428 -30.135464757        |        0.4 8.7   |10.825   |~              |    ~     ~    
2960|TYC 9093-182-1                                                        |Double or Multiple Star               |19 57 17.002032 -64 02 08.81232        |332.382974429 -31.357316951        |      15.5 -9.0   |10.974   |~              |    ~     ~    
2961|TYC 9093-372-1                                                        |Star                                  |19 45 53.7932190288 -64 07 35.329132272|332.2916919585524 -30.1123019925734|  5.336 -15.332   |10.797   |~              |    ~     ~    
2962|TYC 9093-458-1                                                        |Star                                  |19 49 52.9262508624 -63 53 34.266843744|332.5651433044313 -30.5476400278976|   -1.311 1.561   |10.825   |~              |    ~     ~    
2963|TYC 9093-716-1                                                        |Star                                  |19 51 13.7298502176 -64 18 20.574735228|332.0843906943350 -30.6922800773016|  -25.511 9.175   |10.98    |~              |    ~     ~    
2964|TYC 9093-928-1                                                        |Star                                  |19 57 17.7307101264 -63 51 58.199760252|332.5814647668425 -31.3638847953393|-15.538 -19.561   |10.967   |~              |    ~     ~    
2965|TYC 9093-1164-1                                                       |Star                                  |19 46 25.6427311680 -64 35 43.737598140|331.7499498859490 -30.1738067465437|   7.830 -7.892   |10.57    |~              |    ~     ~    
2966|TYC 9093-1211-1                                                       |Star                                  |19 45 05.5983969528 -65 03 15.321045744|331.2187386181209 -30.0345023620881|  6.989 -14.413   |10.478   |~              |    ~     ~    
2967|TYC 9093-1420-1                                                       |Star                                  |19 49 16.0346639328 -64 32 01.236210936|331.8215562831067 -30.4787304864274|-16.126 -11.181   |10.83    |~              |    ~     ~    
2968|TYC 9093-1615-1                                                       |Star                                  |19 52 10.8640411968 -64 42 39.557685852|331.6111698119084 -30.7887923652907|  7.625 -11.445   |10.792   |~              |    ~     ~    
2969|HD 187706                                                             |Star                                  |19 55 03.1866096432 -61 39 09.577389204|335.1746052263610 -31.1380160271195| -6.658 -11.305   |10.32    |F7/8IV         |    ~     ~    
2970|CD-62 1306                                                            |Star                                  |19 57 01.1604422256 -62 18 25.106537304|334.4078790382592 -31.3656274137371|  8.215 -11.195   |10.18    |~              |    ~     ~    
2971|CPD-62 6119                                                           |Star                                  |19 57 05.4713067624 -62 18 53.128486224|334.3986410359341 -31.3738758648785|    2.396 7.671   |9.99     |~              |    ~     ~    
2972|HD 188411                                                             |Star                                  |19 58 45.6102716400 -62 15 30.426005520|334.4610950392100 -31.5687713569005|  -12.803 3.664   |9.44     |K2III          |    ~     ~    
2973|HD 188226                                                             |Double or Multiple Star               |19 57 50.5079 -62 40 31.524            |333.9744527 -31.4547325            | -3.958 -21.851   |10.07    |G2IV/V         |    ~     ~    
2974|HD 188357                                                             |Star                                  |19 58 32.4932137200 -63 07 40.768774572|333.4417010822759 -31.5238837513350|  6.652 -11.429   |7.87     |B9V            |    ~     ~    
2975|HD 188412                                                             |Star                                  |19 58 51.4671665880 -63 04 45.602942664|333.4976229930418 -31.5609668222553|   6.856 -7.208   |9.82     |K0/1III        |    ~     ~    
2976|HD 188479                                                             |Star                                  |19 59 06.6054758496 -62 49 56.358290100|333.7865591165684 -31.5962835509590|  7.322 -20.131   |10.103   |F2(III)        |    ~     ~    
2977|HD 188096                                                             |High Proper Motion Star               |19 57 05.5073786376 -61 37 29.382305196|335.2067166347758 -31.3801671215488| 12.521 -56.271   |8.41     |G8III          |    ~     ~    
2978|HD 188608                                                             |Star                                  |19 59 38.4557515248 -61 59 46.119699060|334.7668056198464 -31.6766418589621|  20.862 -2.487   |9.78     |G8III          |    ~     ~    
2979|V* NO Pav                                                             |Mira Variable                         |19 59 05.2535761848 -62 16 51.058911072|334.4339425054260 -31.6064158767717|    5.875 1.221   |10.82    |Me             |    ~     ~    
2980|TYC 9085-624-1                                                        |Star                                  |19 57 21.7301418360 -61 40 17.648740992|335.1517297307137 -31.4119804282196|    0.273 5.116   |10.749   |~              |    ~     ~    
