C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:52:00

Vmag< 11&dec< 0&rah >=2.0&rah< 2.25
-----------------------------------

Number of objects : 2448

 #  |            identifier             |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|-----------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
2238|HD 13642                           |Star                                  |02 03 32.9952135912 -82 44 10.869715248|300.2263470441364 -34.0091941946874| -12.358 -6.293   |8.55     |K1III          |    ~     ~    
2239|HD 14844                           |Star                                  |02 13 17.9777103408 -82 53 36.942146664|299.9497597309796 -33.7544118750090| 41.140 -20.369   |9.30     |K1/3(III)      |    ~     ~    
2240|HD 14998                           |Star                                  |02 14 56.0625261456 -82 46 26.287117788|299.8385379006767 -33.8458856757586|  37.846 -1.745   |9.585    |F6V            |    ~     ~    
2241|TYC 9491-1924-1                    |Star                                  |02 11 22.2858565920 -82 35 25.317570696|299.8824734856884 -34.0586101878233| 10.751 -17.710   |10.462   |~              |    ~     ~    
2242|TYC 9491-2077-1                    |Star                                  |02 11 29.9546853576 -82 33 52.338902112|299.8663818415811 -34.0811138912509|  -8.662 -6.347   |9.52     |~              |    ~     ~    
2243|TYC 9357-876-1                     |Star                                  |02 06 49.5235555224 -80 16 05.415851676|299.0476380852492 -36.2846392192344|   11.459 5.345   |10.73    |~              |    ~     ~    
2244|TYC 9357-1011-1                    |Eruptive Variable                     |02 00 09.1572236328 -80 25 00.994339452|299.4368290455086 -36.2403356893843|   78.024 5.984   |10.60    |K3.7           |    ~     ~    
2245|TYC 9361-52-1                      |Star                                  |02 06 49.4665161408 -81 51 45.798278076|299.7401324399140 -34.7929594264654|   11.769 5.862   |10.60    |~              |    ~     ~    
2246|TYC 9361-200-1                     |High Proper Motion Star               |02 13 28.3047544392 -81 48 05.167885032|299.4452838184589 -34.7638718596446|  46.611 20.534   |10.93    |~              |    ~     ~    
2247|TYC 9361-524-1                     |Eruptive Variable                     |02 12 58.4121945933 -81 23 59.486922770|299.2799731541434 -35.1423395558714|   6.378 16.049   |10.74    |~              |    ~     ~    
2248|TYC 9361-558-1                     |Star                                  |02 14 06.2870259816 -81 30 32.999232348|299.2834362218508 -35.0252652747662|   10.567 5.897   |10.504   |~              |    ~     ~    
2249|TYC 9361-692-1                     |Star                                  |02 13 35.3142638856 -81 35 35.767382820|299.3440648127383 -34.9547983217561|   -0.905 7.248   |10.91    |~              |    ~     ~    
2250|TYC 9361-747-1                     |Star                                  |02 09 55.5673979616 -81 00 16.094563596|299.2315921265729 -35.5526374397589|  -1.864 -1.360   |10.400   |~              |    ~     ~    
2251|TYC 9361-843-1                     |Star                                  |02 11 03.3342082344 -81 01 21.684182628|299.1895147503678 -35.5193992199422| 25.535 -11.062   |10.998   |~              |    ~     ~    
2252|TYC 9361-955-1                     |Star                                  |02 11 25.0659624528 -80 42 42.142557780|299.0300526913337 -35.8024747100745|   15.416 2.157   |10.592   |~              |    ~     ~    
2253|TYC 9361-973-1                     |Star                                  |02 09 03.6280350144 -81 19 27.344200296|299.4126885511643 -35.2670048121061|   10.913 0.914   |10.93    |~              |    ~     ~    
2254|TYC 9361-1019-1                    |Star                                  |02 03 16.1541216864 -80 54 58.478609088|299.4943578489282 -35.7274120970537|  1.309 -12.482   |10.89    |~              |    ~     ~    
2255|TYC 9491-1901-1                    |Star                                  |02 07 25.4989802856 -83 01 00.268021452|300.2052004681264 -33.7046689041251|  -0.606 -1.691   |10.640   |~              |    ~     ~    
2256|TYC 9491-2000-1                    |Star                                  |02 06 31.4164995072 -83 09 36.201966876|300.2953244090946 -33.5795887538939|   13.850 2.000   |10.669   |~              |    ~     ~    
2257|TYC 9491-2017-1                    |Star                                  |02 09 57.5138011776 -82 56 25.064802240|300.0856008022706 -33.7487624490218|    7.845 4.851   |10.92    |~              |    ~     ~    
2258|TYC 9491-2029-1                    |Spectroscopic Binary                  |02 02 18.9201346584 -83 12 38.196562608|300.4568242302640 -33.5736989506113|  -2.184 -6.834   |10.71    |~              |    ~     ~    
2259|TYC 9491-2271-1                    |Star                                  |02 02 35.8670722704 -82 39 48.351155760|300.2317327568986 -34.0880135050508|  11.600 14.861   |9.64     |~              |    ~     ~    
2260|TYC 9357-106-1                     |Star                                  |02 03 30.5563138248 -79 10 18.589624176|298.7392503013726 -37.3629967003239|   34.987 9.095   |10.304   |~              |    ~     ~    
2261|TYC 9357-134-1                     |Star                                  |02 01 27.7210806528 -79 38 24.683816544|299.0504695682251 -36.9547174158612|  34.980 13.551   |10.941   |~              |    ~     ~    
2262|TYC 9357-1099-1                    |Star                                  |02 00 01.2010712592 -79 13 16.858927344|298.9539268970657 -37.3717050405888|   28.269 3.419   |10.35    |~              |    ~     ~    
2263|CD-88 4                            |High Proper Motion Star               |02 01 33.0543145704 -87 39 25.372234908|302.1224900976500 -29.3600875218337|  38.882 61.790   |10.56    |~              |    ~     ~    
2264|CD-88 7                            |Star                                  |02 13 51.0901251936 -87 51 48.954851424|302.0714801402961 -29.1253742810525|  25.419 -1.744   |9.50     |F0             |    ~     ~    
2265|HD 20281                           |High Proper Motion Star               |02 06 52.1117870280 -88 35 01.584675960|302.4112607454359 -28.4674994146684|-122.327 -69.326  |9.95     |G8/K0          |    ~     ~    
2266|HD 29328                           |Star                                  |02 09 17.4441988680 -89 08 12.665231304|302.6063819726249 -27.9417009025416| -10.756 -0.466   |10.15    |K              |    ~     ~    
2267|TYC 9499-78-1                      |Star                                  |02 04 20.7374622408 -87 17 44.755407888|301.9585486946233 -29.6934308031530|   9.674 -0.684   |10.61    |~              |    ~     ~    
2268|CD-85 20                           |Star                                  |02 05 24.8974906920 -85 04 49.426364208|301.0980604612003 -31.7817945035616|   8.844 -4.117   |8.82     |K5             |    ~     ~    
2269|CD-85 21                           |Star                                  |02 07 30.6940030440 -85 00 08.127003672|301.0168956272815 -31.8401114575842|    6.484 2.302   |8.72     |M0             |    ~     ~    
2270|CD-85 22                           |Eclipsing Binary                      |02 09 29.7581733024 -85 18 12.492423648|301.0928272635037 -31.5429411105121|   1.873 13.817   |9.84     |G2V            |    ~     ~    
2271|HD 15521                           |Star                                  |02 12 01.9293531960 -85 41 49.263397764|301.2012597809195 -31.1572283700651|  18.382 16.667   |9.20     |G8/K0III       |    ~     ~    
2272|CD-86 20                           |Star                                  |02 01 41.3008852368 -86 11 24.058083948|301.5949997221802 -30.7542762768546|   21.127 2.784   |9.87     |F5             |    ~     ~    
2273|TYC 9495-520-1                     |Star                                  |02 10 05.0996039208 -85 37 07.508880984|301.2091404461777 -31.2434734930225|  -2.179 -3.607   |10.541   |~              |    ~     ~    
2274|TYC 9495-347-1                     |Star                                  |02 12 32.7921126768 -86 11 21.760887264|301.3971006103757 -30.6943267172560|    9.669 7.851   |10.831   |~              |    ~     ~    
2275|TYC 9495-400-1                     |Spectroscopic Binary                  |02 12 42.7635131544 -85 51 28.870986744|301.2551711475541 -31.0024812220406|   8.281 10.139   |9.984    |~              |    ~     ~    
2276|TYC 9499-475-1                     |Star                                  |02 07 08.4898929504 -86 23 08.275678692|301.5715664979953 -30.5406313155607|    3.810 4.344   |10.571   |~              |    ~     ~    
2277|IRAS 02154-8637                    |Star                                  |02 08 01.9916969136 -86 22 50.608985268|301.5542734069115 -30.5405115190531|   16.018 2.510   |10.35    |~              |    ~     ~    
2278|TYC 9495-313-1                     |Star                                  |02 01 55.5116291112 -85 05 19.771680696|301.1844652038095 -31.7980846638011|  19.767 10.675   |10.438   |~              |    ~     ~    
2279|HD 13513A                          |High Proper Motion Star               |02 11 02.2146951768 -35 40 14.757492720|244.6143728989860 -71.0380782240859|-159.048 -216.613 |10.21    |M0.0           |    ~     ~    
2280|HE 0211-5254                       |High Proper Motion Star               |02 13 16.6983634464 -52 40 29.702502336|277.6471303375467 -60.2492254150018|-25.411 -132.423  |10.747   |~              |    ~     ~    
2281|TYC 7007-1736-1                    |Star                                  |02 13 29.0237925048 -30 16 14.215519596|227.7015416855674 -71.7622707343041| -3.628 -21.782   |10.945   |~              |    ~     ~    
2282|TYC 8482-439-1                     |Star                                  |02 00 26.3309548992 -53 17 37.586802012|281.5722865895503 -60.8792217473613|  17.020 -1.205   |10.991   |~              |    ~     ~    
2283|SCR J0211-6108                     |High Proper Motion Star               |02 11 35.4173903280 -61 08 53.807369100|286.8309561894398 -53.4026233084977|202.660 101.975   |10.35    |~              |    ~     ~    
2284|HD 13021A                          |Star                                  |02 04 04.2984260497 -71 15 10.615715563|294.8291949461345 -44.7150449013797|  25.786 25.925   |9.93     |~              |    ~     ~    
2285|HD 12759A                          |Spectroscopic Binary                  |02 03 55.2512757264 -45 24 46.456525754|269.4117011208230 -66.7111333662110| 327.538 51.919   |7.37     |~              |    ~     ~    
2286|BD-07 352A                         |Star                                  |02 04 21.602374 -06 26 34.90466        |166.179256601 -63.017455157        |      40.7 -2.6   |10.36    |~              |    ~     ~    
