C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:17:06

Vmag< 11&dec >=0&rah >=5.75&rah< 6.0
------------------------------------

Number of objects : 7251

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------
3484|TYC 2405-850-1                                                                                           |Star                           |05 49 07.3740276840 +30 02 44.448196416|179.4454847876041 +01.2266106330181|   0.838 -2.202  |9.88     |~                |    ~     ~    
3485|TYC 2405-1004-1                                                                                          |Star                           |05 50 51.7902545544 +30 36 39.348449748|179.1526829888375 +01.8388645903412|  -1.498 -2.038  |10.98    |~                |    ~     ~    
3486|TYC 2405-1078-1                                                                                          |Star                           |05 50 49.7236902120 +30 35 36.018922488|179.1640205714304 +01.8235028956972|   1.565 -6.564  |10.94    |~                |    ~     ~    
3487|TYC 2405-1494-1                                                                                          |Star                           |05 50 15.3410379480 +30 16 24.321568836|179.3757483196409 +01.5536617160289|  -1.354 -3.856  |10.95    |~                |    ~     ~    
3488|TYC 2405-1782-1                                                                                          |Star                           |05 49 49.4364480624 +30 19 40.844373204|179.2810647413909 +01.5016433536625|   0.991 -2.904  |10.96    |~                |    ~     ~    
3489|TYC 2406-115-1                                                                                           |Star                           |05 51 05.5935900384 +30 13 40.612975428|179.5074061390533 +01.6858101914855|   3.773 -4.668  |10.92    |~                |    ~     ~    
3490|TYC 2406-149-1                                                                                           |Spectroscopic Binary           |05 57 53.0643434784 +30 16 52.174182216|180.2020461684748 +02.9788096173073|  0.744 -13.675  |10.29    |~                |    ~     ~    
3491|TYC 2406-439-1                                                                                           |Star                           |05 52 23.3360167992 +30 16 38.673777936|179.6074977173572 +01.9517665836784|   1.464 -3.360  |10.64    |~                |    ~     ~    
3492|TYC 2406-611-1                                                                                           |Star                           |05 55 56.4891034320 +30 00 57.825244512|180.2215163680590 +02.4825064411450|   0.206 -2.173  |10.97    |~                |    ~     ~    
3493|TYC 2406-1042-1                                                                                          |Star                           |05 51 32.4172945776 +30 53 40.645773744|178.9828749099735 +02.1087620429217|   1.820 -7.413  |10.84    |~                |    ~     ~    
