C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:24:19

Vmag< 11&dec< 0&rah >=10.25&rah< 10.5
-------------------------------------

Number of objects : 6864

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
154 |BD-12 3131                                                            |Star                           |10 17 42.3661477008 -12 49 04.729920564|254.9315651324965 +35.3538436707455|  -10.461 2.306   |10.07    |~              |    ~     ~    
155 |HD 89149                                                              |Star                           |10 16 46.8550792968 -13 05 58.249347504|254.9626929184033 +34.9940923492107| -6.286 -10.896   |7.18     |K0III          |    ~     ~    
156 |HD 89295                                                              |Star                           |10 17 50.7836045088 -13 31 36.777012312|255.5480624838917 +34.8545114121357|  -17.362 5.715   |8.64     |K0III          |    ~     ~    
157 |HD 89336                                                              |Star                           |10 18 09.2177009736 -13 20 26.750327568|255.4624015441226 +35.0423712862855|-15.383 -36.907   |9.66     |F5/6V          |    ~     ~    
158 |HD 89351                                                              |High Proper Motion Star        |10 18 23.7607480272 -13 18 17.133354216|255.4859902659146 +35.1087079969589| 35.405 -38.090   |8.819    |G8/K0III       |    ~     ~    
159 |HD 89352                                                              |Star                           |10 18 25.0734671568 -13 20 58.391720844|255.5276711717509 +35.0791823604629| -21.125 -6.201   |10.056   |F              |    ~     ~    
160 |V* PU Hya                                                             |Long-Period Variable Candidate |10 15 01.3091085984 -13 47 48.533612028|255.1559784281566 +34.1916887890020|  20.971 -9.634   |8.99     |M3III          |    ~     ~    
161 |HD 89013                                                              |High Proper Motion Star        |10 15 53.1231072096 -14 17 05.389814004|255.7407138600462 +33.9737797799769| 33.293 -60.871   |9.821    |G2/3V          |    ~     ~    
162 |HD 89115                                                              |Star                           |10 16 34.5876339408 -14 23 18.816654192|255.9742576761047 +34.0096128447743|  -40.174 8.733   |9.79     |G2/3V          |    ~     ~    
163 |HD 89188                                                              |Star                           |10 17 06.2069859744 -14 15 07.363170540|255.9778517174009 +34.1964895388243|  -5.058 -4.482   |9.62     |F2V            |    ~     ~    
164 |HD 89210                                                              |Star                           |10 17 12.5923371720 -14 26 49.447168908|256.1589023447734 +34.0690546097469|  -11.684 9.030   |10.42    |F8             |    ~     ~    
165 |HD 89243                                                              |Star                           |10 17 24.0701290632 -14 24 24.302298744|256.1678471901843 +34.1300124439146| -1.381 -10.102   |9.700    |F5V            |    ~     ~    
166 |HD 88912                                                              |Star                           |10 15 01.1325749568 -15 02 29.947107660|256.1657613022846 +33.2727578371281|  -22.344 4.429   |9.27     |K0III          |    ~     ~    
167 |HD 89367                                                              |Star                           |10 18 27.5181197064 -14 47 27.755212128|256.7074130392648 +34.0143602473530|   -0.171 6.769   |9.940    |A5/7II/III     |    ~     ~    
168 |BD-14 3068                                                            |Star                           |10 15 21.3694125257 -15 07 04.187300661|256.2991003353595 +33.2708761083752|  -31.477 1.581   |10.189   |~              |    ~     ~    
169 |BD-13 3069                                                            |Star                           |10 15 33.1248325776 -14 21 34.749260676|255.7295984162383 +33.8640910455812|  -8.625 -5.762   |10.30    |~              |    ~     ~    
170 |BD-12 3124                                                            |Star                           |10 15 45.7179468576 -12 53 55.630797360|254.5739931622590 +34.9722565044402|-17.182 -19.966   |10.066   |~              |    ~     ~    
171 |BD-14 3071                                                            |Star                           |10 15 54.9803944176 -14 59 33.516781584|256.3189166682179 +33.4544168340376| -25.097 -2.161   |10.400   |~              |    ~     ~    
172 |BD-13 3072                                                            |Star                           |10 16 23.1250816680 -14 27 30.657208068|255.9895751535648 +33.9267154931688|   -7.338 0.749   |10.729   |~              |    ~     ~    
173 |BD-12 3127                                                            |Star                           |10 16 39.7991956608 -13 18 42.631349148|255.1126442274789 +34.8186496476114| -10.064 -9.115   |10.55    |~              |    ~     ~    
174 |BD-14 3075                                                            |Star                           |10 16 56.7311840928 -14 56 03.577702164|256.4939712680634 +33.6639599154711| -4.708 -16.904   |9.843    |~              |    ~     ~    
175 |BD-14 3077                                                            |High Proper Motion Star        |10 17 21.4157945520 -15 08 15.829609092|256.7456849509933 +33.5784911146925| -50.531 26.571   |10.489   |~              |    ~     ~    
176 |BD-14 3078                                                            |Star                           |10 17 46.1946815664 -15 03 17.169646284|256.7688339012319 +33.7067397422438|  -11.859 2.362   |10.15    |~              |    ~     ~    
177 |BD-13 3082                                                            |Star                           |10 18 07.6010324448 -13 47 28.932764784|255.8259731015324 +34.7045569783653|  -3.614 -2.533   |10.73    |~              |    ~     ~    
178 |BD-14 3082                                                            |Star                           |10 18 28.2149524200 -15 12 23.061729780|257.0417815904508 +33.7054275887254|  -27.003 9.263   |10.283   |~              |    ~     ~    
179 |BD-14 3083                                                            |Star                           |10 18 30.5542497168 -14 50 24.253120284|256.7577312419796 +33.9858463154733|  -8.031 -6.199   |9.776    |~              |    ~     ~    
180 |BD-13 3084                                                            |Star                           |10 18 41.9276783952 -14 18 04.817746152|256.3655621185907 +34.4184385199453| -11.031 -0.825   |10.508   |~              |    ~     ~    
181 |BD-14 3070                                                            |Star                           |10 15 47.6155574208 -15 13 38.693556588|256.4806094219290 +33.2601093379040|   -2.712 4.966   |10.62    |~              |    ~     ~    
182 |BD-12 3133                                                            |Star                           |10 17 59.0795879304 -13 33 38.919033936|255.6061783515402 +34.8520566888284|  -1.089 10.105   |10.06    |~              |    ~     ~    
