C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:39:41

Vmag< 11&dec< 0&rah >=0.0&rah< 0.25
-----------------------------------

Number of objects : 2411

 #  |                              identifier                              |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type      |   ang. size   
----|----------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------------|---------------
1416|HD 225222                                                             |Star                                |00 04 41.5235328216 -01 03 33.458755752|097.7125369943393 -61.6206712741110|  9.925 -11.369    |8.99     |F0V                  |    ~     ~    
1417|HD 6                                                                  |High Proper Motion Star             |00 05 03.8227507152 -00 30 10.928616408|098.3277455059774 -61.1398140395086| 45.245 -53.594    |6.298    |K0III                |    ~     ~    
1418|HD 44                                                                 |High Proper Motion Star             |00 05 30.2831326632 -00 47 13.467658632|098.3217627894529 -61.4444835799346|  64.716 19.254    |10.6     |G5(V)                |    ~     ~    
1419|BD-01 4527                                                            |Star                                |00 05 49.1380001352 -01 10 42.032052084|098.1690504429200 -61.8369108166864|-21.562 -16.056    |10.84    |F8                   |    ~     ~    
1420|BD-01 4528                                                            |Star                                |00 06 19.6436550408 -00 40 23.004616116|098.8092833972361 -61.4139494308157|   41.962 0.358    |10.743   |G0                   |    ~     ~    
1421|BD-01 4530                                                            |Star                                |00 07 23.8548044928 -00 21 21.848806224|099.5662812430040 -61.2138897591798|   5.100 -1.653    |10.279   |K2                   |    ~     ~    
1422|HD 303                                                                |Star                                |00 07 45.5676527712 -01 20 54.868159212|098.9971027720788 -62.1732776802219|   5.083 -9.322    |9.01     |K0III                |    ~     ~    
1423|HD 225129                                                             |Star                                |00 03 41.9103364992 -01 33 19.991035656|096.8227151853044 -61.9828292408380|   39.126 3.833    |9.548    |K0III                |    ~     ~    
1424|HD 225295                                                             |Star                                |00 05 06.0 -01 33 00                   |097.5163 -62.1132                  |            ~ ~    |10.2     |K0                   |    ~     ~    
1425|HD 45                                                                 |Star                                |00 05 24.8507555736 -01 26 24.772611840|097.7605578440969 -62.0415775107041|-34.805 -31.060    |9.37     |F5V                  |    ~     ~    
1426|HD 146                                                                |Star                                |00 06 18.6507424512 -01 14 17.147491908|098.3641806652444 -61.9380608618275|-19.960 -32.507    |8.22     |K1III                |    ~     ~    
1427|HD 304                                                                |Star                                |00 07 45.1693988568 -02 11 12.447562668|098.3279571722749 -62.9527419307764| -5.135 -24.931    |10.360   |G5V                  |    ~     ~    
1428|HD 532                                                                |Star                                |00 09 47.4296554032 -02 10 21.106640820|099.3854343785491 -63.1244083211268|   15.743 6.708    |10.11    |F6/7V                |    ~     ~    
1429|HD 665                                                                |Star                                |00 10 56.9347247640 -02 04 28.412289120|100.0610901478325 -63.1342420206838| 43.490 -19.365    |7.93     |K0III                |    ~     ~    
1430|HD 7                                                                  |Spectroscopic Binary                |00 05 10.5612433200 -01 51 13.127213700|097.3037581699397 -62.4009456201794| 18.583 -10.134    |9.08     |G8/K0III             |    ~     ~    
1431|HD 27                                                                 |High Proper Motion Star             |00 05 18.4755868440 -01 47 38.664792636|097.4187779087169 -62.3586158454301|  57.697 11.575    |7.93     |G8III                |    ~     ~    
1432|HD 61                                                                 |Star                                |00 05 30.3752822856 -01 49 12.791256240|097.4959244312984 -62.4017482533873|  4.209 -20.348    |8.31     |K0III                |    ~     ~    
1433|HD 138                                                                |Star                                |00 06 11.5895679360 -02 09 17.651752128|097.5627242880758 -62.7766104673990|  31.120 10.831    |9.28     |K0III                |    ~     ~    
1434|HD 137                                                                |Spectroscopic Binary                |00 06 13.1555662776 -01 53 13.823203596|097.7972757696178 -62.5314301616929|-10.449 -44.101    |8.68     |F6/7V                |0.0050  0.0    
1435|HD 406                                                                |Star                                |00 08 43.1091511944 -02 13 21.296453484|098.7933842042304 -63.0746893383158|  37.767 -1.476    |7.05     |K0III                |    ~     ~    
1436|HD 224                                                                |Star                                |00 07 01.5732354696 -02 20 12.354623016|097.8337567857894 -63.0238712364646|  3.785 -16.203    |9.830    |K0/1(III)            |    ~     ~    
