C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:41:30

Vmag< 11&dec< 0&rah >=6.25&rah< 6.5
-----------------------------------

Number of objects : 6536

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |      ang. size      
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------------
4078|TYC 7613-189-1                                                        |Star                                  |06 29 56.7080819304 -37 40 36.044223168|245.8520706198830 -20.1611306771992|   5.329 12.644   |10.19    |~                   |    ~     ~          
4079|TYC 7613-190-1                                                        |Star                                  |06 24 37.6172188176 -39 02 07.963208700|246.8721243526761 -21.5841519005973|  -5.765 -1.212   |10.14    |~                   |    ~     ~          
4080|TYC 7613-255-1                                                        |Star                                  |06 27 58.1055860736 -37 58 17.362134984|246.0129998165792 -20.6264598430078|   -5.700 2.969   |10.94    |~                   |    ~     ~          
4081|TYC 7613-273-1                                                        |Star                                  |06 22 53.7683455152 -37 36 54.662430600|245.3078115520456 -21.4618666866347|   -0.821 9.589   |10.61    |~                   |    ~     ~          
4082|TYC 7613-331-1                                                        |Star                                  |06 28 24.6183784704 -38 07 50.809842192|246.2041259143757 -20.5958239931991|   -0.558 2.299   |10.724   |~                   |    ~     ~          
4083|TYC 7613-550-1                                                        |Star                                  |06 29 13.7166480048 -38 48 49.466963700|246.9500330765991 -20.6649610859897|  -3.262 10.501   |10.63    |~                   |    ~     ~          
4084|TYC 7613-604-1                                                        |Star                                  |06 24 29.8115293128 -38 55 31.256013468|246.7510402061173 -21.5739404016860| -6.612 -20.988   |10.56    |~                   |    ~     ~          
4085|TYC 7613-707-1                                                        |Star                                  |06 24 04.1411857248 -38 11 50.976385260|245.9798780547918 -21.4257567401867|  -3.099 17.165   |10.37    |~                   |    ~     ~          
4086|TYC 7613-737-1                                                        |Star                                  |06 25 19.4055618744 -37 44 40.110422712|245.6031076384351 -21.0475875543711|  -0.530 -6.037   |10.78    |~                   |    ~     ~          
4087|TYC 7613-811-1                                                        |Star                                  |06 24 19.0239220080 -37 43 51.290268276|245.5212909200674 -21.2318339923327|   2.455 13.597   |10.90    |~                   |    ~     ~          
4088|TYC 7613-836-1                                                        |Star                                  |06 22 43.1554001976 -39 07 10.545501252|246.8353715455266 -21.9622679359454|-37.354 -15.267   |10.61    |~                   |    ~     ~          
4089|TYC 7613-903-1                                                        |Star                                  |06 23 36.4531556784 -37 44 37.228899984|245.4865347021299 -21.3689155750510|   -1.029 5.968   |10.59    |~                   |    ~     ~          
4090|TYC 7613-911-1                                                        |Star                                  |06 24 56.8632773952 -37 41 37.276742580|245.5260792137760 -21.1017471292815|    1.629 5.419   |10.60    |~                   |    ~     ~          
4091|TYC 7613-989-1                                                        |Star                                  |06 25 29.6203985712 -37 56 04.239377880|245.8075800912983 -21.0764697088278| 10.459 -23.596   |10.920   |~                   |    ~     ~          
4092|CD-38 2627                                                            |Star                                  |06 24 22.8840 -38 15 00.676            |246.0543381 -21.3841051            |  -4.457 23.525   |10.09    |G8                  |    ~     ~          
4093|TYC 7613-1139-1                                                       |Star                                  |06 27 37.0213930464 -38 05 24.667337580|246.1091149031169 -20.7303393404915|  3.510 -11.886   |10.62    |~                   |    ~     ~          
4094|CD-38 2620                                                            |Star                                  |06 23 37.3489 -38 26 58.044            |246.2075786 -21.5878576            |-10.122 -27.921   |10.63    |~                   |    ~     ~          
4095|TYC 7613-1424-1                                                       |Star                                  |06 24 11.7870597360 -38 38 00.102247224|246.4331067304422 -21.5386142723672|  -3.263 19.727   |10.867   |~                   |    ~     ~          
