C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:04:20

Vmag< 11&dec >=0&rah >=21.25&rah< 21.5
--------------------------------------

Number of objects : 7064

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
3442|TYC 1109-1886-1                                                       |Star                           |21 18 03.6803129976 +10 08 40.026107904|061.2047687242936 -26.2769382222108|   6.352 -4.437   |10.91    |~                 |    ~     ~    
3443|TYC 1109-2100-1                                                       |Spectroscopic Binary           |21 17 15.5918755296 +10 01 45.886167588|060.9697256683233 -26.1891953359771|-29.943 -82.285   |10.91    |~                 |    ~     ~    
3444|TYC 1109-2170-1                                                       |Star                           |21 16 27.9825955104 +09 50 15.039428424|060.6679365342767 -26.1486453554682|   0.557 -2.340   |10.48    |~                 |    ~     ~    
3445|TYC 1109-2276-1                                                       |Star                           |21 16 34.3393178592 +10 01 36.447895920|060.8538230681634 -26.0556795987567|  4.991 -21.636   |10.26    |~                 |    ~     ~    
3446|TYC 1110-536-1                                                        |Star                           |21 20 20.1324267960 +10 42 58.256516376|062.0905621803344 -26.3728764197867| -13.932 -8.691   |10.42    |~                 |    ~     ~    
3447|TYC 1110-984-1                                                        |Star                           |21 21 08.3004072120 +10 17 39.420249900|061.8521217475162 -26.7869646547728|  -2.076 -7.055   |10.57    |~                 |    ~     ~    
3448|TYC 1110-1048-1                                                       |Star                           |21 22 17.2209744600 +10 04 16.994765172|061.8480054446959 -27.1469058171983| 20.889 -39.332   |10.84    |~                 |    ~     ~    
3449|TYC 1110-1060-1                                                       |Star                           |21 20 09.5247653424 +09 54 25.993771380|061.3436248459055 -26.8314312162909|   0.373 -7.885   |10.25    |~                 |    ~     ~    
3450|TYC 1110-1083-1                                                       |High Proper Motion Star        |21 19 17.2510108080 +10 16 47.315167680|061.5290356160483 -26.4347743247228|-89.166 -77.994   |10.88    |~                 |    ~     ~    
3451|TYC 1110-1364-1                                                       |Star                           |21 20 53.4360272184 +09 53 14.508952836|061.4487564079871 -26.9866478252696| -23.963 -0.547   |10.51    |~                 |    ~     ~    
3452|TYC 1110-1483-1                                                       |Star                           |21 22 25.7299310616 +10 30 09.094332492|062.2544649427054 -26.9102495225107| -6.603 -21.349   |10.89    |~                 |    ~     ~    
3453|TYC 1110-1528-1                                                       |Star                           |21 19 44.7864075528 +10 45 49.402632888|062.0338325597510 -26.2293131536318|  -6.296 -8.176   |10.17    |~                 |    ~     ~    
3454|TYC 1110-1833-1                                                       |High Proper Motion Star        |21 21 46.1520334776 +09 27 31.366606752|061.2139426711607 -27.4190951035969|  1.648 -91.782   |9.98     |~                 |    ~     ~    
3455|TYC 1110-1847-1                                                       |Star                           |21 19 40.6686936627 +09 44 26.364097596|061.1146836297472 -26.8381864877545|   1.250 -0.141   |10.72    |~                 |    ~     ~    
3456|TYC 1110-2018-1                                                       |Star                           |21 22 13.7422716336 +09 55 20.392697784|061.7055545139286 -27.2266884304249|   19.130 8.170   |10.66    |~                 |    ~     ~    
3457|TYC 1110-2086-1                                                       |Star                           |21 20 26.2997586072 +10 50 03.037302420|062.2119198951586 -26.3205974771581|   -0.950 0.604   |10.32    |~                 |    ~     ~    
3458|TYC 1110-2219-1                                                       |Star                           |21 19 34.0729729368 +09 34 32.161254024|060.9489484339449 -26.9164382682048|   4.384 -7.967   |10.38    |~                 |    ~     ~    
3459|TYC 1110-2247-1                                                       |Star                           |21 19 29.6965732656 +09 30 13.948410096|060.8726477028758 -26.9454281508916|  18.024 -2.123   |10.7     |~                 |    ~     ~    
3460|HD 203700                                                             |High Proper Motion Star        |21 23 40.3944888216 +08 49 29.717583888|060.9669686472485 -28.1772681955413|124.761 -31.488   |8.89     |G0                |    ~     ~    
3461|BD+08 4667                                                            |Star                           |21 24 18.4269875040 +08 51 22.558670028|061.1031606887831 -28.2826409695579| 17.482 -13.126   |9.70     |F8                |    ~     ~    
3462|HD 204120                                                             |Star                           |21 26 19.7989309968 +08 55 02.434970244|061.5047680089289 -28.6414181173319|    2.485 1.323   |9.56     |A2                |    ~     ~    
3463|BD+08 4676                                                            |Star                           |21 26 21.1982852256 +08 58 08.079977316|061.5552554728404 -28.6144257262547|  6.037 -19.104   |9.76     |G5                |    ~     ~    
3464|IRAS 21250+0843                                                       |Long-Period Variable           |21 27 28.1724324456 +08 56 32.808393456|061.7240515434763 -28.8484747340667|  -7.667 -5.653   |10.59    |~                 |    ~     ~    
3465|HD 203788                                                             |Star                           |21 24 09.7530515832 +10 42 06.016729284|062.7251919329172 -27.1230859975392|-24.064 -21.885   |8.67     |A2                |    ~     ~    
3466|BD+10 4540                                                            |Star                           |21 24 40.4384920536 +10 53 48.424307964|062.9846819301601 -27.1008991804582|    6.116 1.996   |10.61    |F0                |    ~     ~    
3467|BD+09 4794                                                            |Star                           |21 23 33.6494911128 +10 33 20.595094380|062.4936639526999 -27.0968581342508|  13.056 -1.880   |10.79    |G5                |    ~     ~    
3468|BD+09 4795                                                            |Star                           |21 23 36.8311274736 +10 29 39.591740652|062.4483673697364 -27.1449539169836|-31.271 -28.650   |9.80     |F5                |    ~     ~    
