C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST07:15:44

Vmag< 11&dec< 0&rah >=22.5&rah< 22.75
-------------------------------------

Number of objects : 2937

 #  |                              identifier                              |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
1282|HD 215115                                                             |Star                          |22 42 59.7718674744 -09 09 15.964717500|057.4824992037557 -54.7643366471214|-14.143 -36.639   |8.50     |K2/3III         |    ~     ~    
1283|HD 215114                                                             |Double or Multiple Star       |22 43 03.41351 -08 18 41.1864          |058.68147278 -54.28814697          |    15.73 -4.03   |6.45     |A3IV            |    ~     ~    
1284|HD 215165                                                             |High Proper Motion Star       |22 43 26.1878914440 -08 25 07.025611440|058.6268034296491 -54.4270221031030|-60.817 -22.067   |8.20     |F5/6V           |    ~     ~    
1285|BD-10 5971                                                            |High Proper Motion Star       |22 41 49.2278417256 -10 13 19.786438776|055.6613660775020 -55.1248356454499|-82.041 -38.904   |10.357   |G0              |    ~     ~    
1286|HD 214963                                                             |Star                          |22 41 59.9311126104 -10 07 32.045138400|055.8445464106447 -55.1080380118583| -14.479 -2.055   |8.20     |A7/8(IV)        |    ~     ~    
1287|HD 215046                                                             |Star                          |22 42 30.9855209880 -09 55 08.020430364|056.2686510670040 -55.0990272586389| 32.859 -11.572   |8.65     |A5V             |    ~     ~    
1288|* 65 Aqr                                                              |Star                          |22 43 01.2155606640 -10 06 09.673666416|056.1224023604954 -55.3044533540149|  -10.889 9.959   |7.04     |K0III           |    ~     ~    
1289|BD-11 5900                                                            |Star                          |22 42 41.7142152168 -10 14 44.273009508|055.8354696242404 -55.3172031398506|   0.517 -9.449   |10.235   |G5              |    ~     ~    
1290|BD-10 5977                                                            |High Proper Motion Star       |22 43 44.6388028176 -09 43 50.372525820|056.8386367563634 -55.2435966373427|-118.481 -125.094 |10.21    |~               |    ~     ~    
1291|HD 215339                                                             |Star                          |22 44 31.9047788352 -08 07 19.721851716|059.3133921750221 -54.4713310745130|  0.143 -16.762   |10.15    |A9V             |    ~     ~    
1292|HD 215260                                                             |Star                          |22 43 57.2599186680 -08 27 32.613063408|058.6995135557102 -54.5545075818207|-15.827 -30.071   |9.66     |F3III/IV        |    ~     ~    
1293|BD-09 6042                                                            |Star                          |22 44 08.2592198568 -08 51 45.988607592|058.1776840937901 -54.8266657843351|  -2.628 -2.109   |10.489   |~               |    ~     ~    
1294|HD 215294                                                             |High Proper Motion Star       |22 44 13.9883900064 -09 01 23.749909212|057.9738691511761 -54.9387663604186| 45.821 -28.545   |8.98     |F6V             |    ~     ~    
1295|HD 215295                                                             |High Proper Motion Star       |22 44 15.8384784024 -09 03 57.442029012|057.9208045883872 -54.9696221999462| 45.115 -81.464   |9.27     |G2/3V           |    ~     ~    
1296|BD-09 6045                                                            |Star                          |22 44 28.6978878456 -08 30 23.321720844|058.7643458525987 -54.6872666396462|   8.891 -4.210   |10.03    |K2              |    ~     ~    
1297|BD-09 6046                                                            |Star                          |22 44 37.4903548752 -09 00 49.903240104|058.0846346766838 -55.0122561066183|  2.441 -11.137   |10.47    |~               |    ~     ~    
1298|BD-09 6047                                                            |Star                          |22 44 49.2617889216 -09 08 54.934562328|057.9414097395032 -55.1296159785968|-23.493 -12.410   |10.28    |~               |    ~     ~    
1299|BD-10 5981                                                            |Star                          |22 44 52.6094148792 -09 14 22.853322420|057.8249551950428 -55.1933415510671| -7.147 -12.621   |10.07    |~               |    ~     ~    
1300|TYC 5812-1109-1                                                       |Star                          |22 44 01.3396797840 -09 50 41.125219548|056.7409879875545 -55.3645561790447|   24.800 4.422   |10.87    |~               |    ~     ~    
1301|TYC 5815-631-1                                                        |Star                          |22 42 15.4602374448 -10 16 09.360137820|055.6964799725174 -55.2405322228944|      -6.4 -4.1   |10.910   |~               |    ~     ~    
1302|HD 213292                                                             |Star                          |22 30 32.3299635744 -07 43 13.910237436|056.5189047222132 -51.4159751257535|   0.512 -5.733   |9.72     |K0III/IV        |    ~     ~    
1303|HD 214132                                                             |High Proper Motion Star       |22 36 17.0552533584 -07 39 51.698809584|057.9211568351746 -52.5489260888187|   60.138 8.827   |7.02     |F4IVpSr         |    ~     ~    
1304|HD 214448                                                             |Double or Multiple Star       |22 38 22.1458788936 -07 53 51.209864196|058.1041365582386 -53.1046588732456|  73.853 -2.670   |6.244    |K0III+F2        |0.0017  0.0    
1305|BD-08 5898                                                            |Star                          |22 35 08.1148361424 -07 50 46.382131176|057.4072271304281 -52.4218958300906| -2.235 -10.383   |10.650   |K4              |    ~     ~    
1306|BD-08 5913                                                            |Star                          |22 38 24.3687300288 -07 39 34.091892432|058.4345172655571 -52.9730951327804| 32.447 -21.406   |10.37    |~               |    ~     ~    
1307|BD-08 5920                                                            |Star                          |22 39 56.9403725976 -07 49 33.630794868|058.5832199180070 -53.3803637764582| -2.481 -44.866   |10.650   |~               |    ~     ~    
1308|BD-08 5910                                                            |Star                          |22 37 08.0514669648 -07 43 01.399901088|058.0523184097464 -52.7508809569196|  21.376 -1.836   |10.635   |~               |    ~     ~    
