C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST14:04:57

cat='M'
-------

Number of objects : 110

 # |                                                                                                                                       identifier                                                                                                                                       |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
---|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
72 |M 7                                NGC 6475                           NAME Ptolemy's Cluster             NGC 6475                                                                                                                                                                       |Open Cluster                        |17 53 47.3 -34 50 28                   |355.8129 -04.5135                  | 3.0722 -5.3157   |     ~   |~              |100.1  100.1   |    1|    0.282   kpc |  -0.010      +0.010     |        |2021MNRAS.503.3279S
73 |M 62                               NGC 6266                           M 62                                                                                                                                                                                                              |Globular Cluster                    |17 01 12.60 -30 06 44.5                |353.57458 +07.31956                |    -4.99 -2.95   |     ~   |~              |14.1  14.1     |    1|    6.42    kpc |  -0.14       +0.14      |PM      |2015ApJ...812..149W
74 |M 6                                NGC 6405                           NAME Butterfly Cluster             NGC 6405                                                                                                                                                                       |Open Cluster                        |17 40 16.6 -32 14 31                   |356.5835 -00.7604                  |-1.3662 -5.8063   |     ~   |~              |20.00 20.00    |    1|    0.465   kpc |  -0.025      +0.025     |        |2021MNRAS.503.3279S
75 |M 69                               NGC 6637                           M 69                                                                                                                                                                                                              |Globular Cluster                    |18 31 23.10 -32 20 53.1                |001.72289 -10.26938                |    -5.12 -5.81   |     ~   |~              | 7.1   7.1     |    0|                |                         |        |                   
76 |M 70                               NGC 6681                           M 70                                                                                                                                                                                                              |Globular Cluster                    |18 43 12.76 -32 17 31.6                |002.85293 -12.50987                |     1.39 -4.72   |     ~   |~              | 7.8   7.8     |    1|    9.20    kpc |                         |kin     |2018MNRAS.478.1520B
77 |M 54                               NGC 6715                           M 54                                                                                                                                                                                                              |Globular Cluster                    |18 55 03.33 -30 28 47.5                |005.60703 -14.08715                |    -2.73 -1.38   |     ~   |~              | 9.1   9.1     |    1|   22.57    kpc |  -0.39       +0.44      |PM      |2015ApJ...812..149W
78 |M 55                               NGC 6809                           M 55                                                                                                                                                                                                              |Globular Cluster                    |19 39 59.71 -30 57 53.1                |008.79257 -23.27165                |    -3.41 -9.27   |6.49     |~              |19.0  19.0     |    1|    0.005   Mpc |                         |        |2008MNRAS.389.1924F
79 |M 4                                NGC 6121                           M 4                                                                                                                                                                                                               |Globular Cluster                    |16 23 35.22 -26 31 32.7                |350.97293 +15.97218                |  -12.48 -18.99   |     ~   |~              |26.3  26.3     |    1|    0.002   Mpc |                         |        |2008MNRAS.389.1924F
80 |M 19                               NGC 6273                           M 19                                                                                                                                                                                                              |Globular Cluster                    |17 02 37.69 -26 16 04.6                |356.86865 +09.38267                |     -3.23 1.66   |5.57     |~              | 9.60  9.60    |    0|                |                         |        |                   
81 |M 80                               NGC 6093                           M 80                                                                                                                                                                                                              |Globular Cluster                    |16 17 02.41 -22 58 33.9                |352.67323 +19.46302                |  -2.934 -5.578   |     ~   |~              | 8.9   8.9     |    1| 9166.770   pc  |-2500.0000   +2500.0000  |ST-L    |2020AJ....160...83S
