C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:50:29

Vmag< 11&dec >=0&rah >=14.25&rah< 14.5
--------------------------------------

Number of objects : 2331

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------
1256|TYC 1475-283-1                                                        |Red Giant Branch star Candidate|14 17 34.7480172144 +22 14 18.796193088|023.6098342018144 +69.8598707753923|  -4.690 -5.409    |10.76    |~                   |    ~     ~    
1257|TYC 1475-325-1                                                        |Spectroscopic Binary           |14 15 33.0929048400 +22 18 28.440426240|023.3675196888509 +70.3268117693621|-64.553 -43.179    |10.71    |~                   |    ~     ~    
1258|TYC 1475-475-1                                                        |Star                           |14 21 20.4572384568 +22 12 58.613060628|024.3261922459098 +69.0261216415259| 24.910 -39.606    |10.97    |~                   |    ~     ~    
1259|TYC 1475-489-1                                                        |Star                           |14 23 00.9849763344 +21 59 39.346624968|024.0799791906030 +68.5879738818193|   -4.295 6.254    |10.94    |~                   |    ~     ~    
1260|TYC 1475-503-1                                                        |Star                           |14 23 56.5162357728 +21 59 00.302646588|024.2371074494531 +68.3810245491269|  3.557 -16.249    |10.95    |~                   |    ~     ~    
1261|TYC 1475-523-1                                                        |Star                           |14 15 02.1730407600 +22 06 10.321927848|022.6761287181066 +70.3738596309705|-11.701 -44.088    |10.49    |~                   |    ~     ~    
1262|TYC 1475-621-1                                                        |Star                           |14 21 38.9682734184 +22 14 37.230703152|024.4605750998423 +68.9667256031123| -2.707 -25.836    |10.60    |~                   |    ~     ~    
1263|TYC 1475-793-1                                                        |High Proper Motion Star        |14 19 32.0461448208 +21 41 16.240863912|022.5416908819217 +69.2519507686456|28.278 -145.700    |10.88    |~                   |    ~     ~    
1264|TYC 1475-834-1                                                        |Star                           |14 21 21.5359445232 +21 25 19.404634764|022.2452659330159 +68.7626656949583|-16.966 -10.148    |10.79    |~                   |    ~     ~    
1265|TYC 1475-839-1                                                        |Star                           |14 15 34.2592177416 +21 35 25.478447064|021.3732821037808 +70.0843593274539|  -38.615 1.483    |10.50    |~                   |    ~     ~    
1266|TYC 1475-842-1                                                        |Star                           |14 15 23.0570056680 +22 04 49.315530000|022.6911646328885 +70.2903036112201|-11.835 -11.654    |10.80    |~                   |    ~     ~    
1267|TYC 1475-852-1                                                        |Star                           |14 22 11.8860181464 +21 35 29.587467012|022.8662228310232 +68.6363895981758|  11.552 -9.379    |10.54    |~                   |    ~     ~    
1268|TYC 1475-910-1                                                        |Star                           |14 22 10.5118655088 +21 45 27.164319588|023.2919148208083 +68.6963804358447|  -27.896 2.603    |10.25    |~                   |    ~     ~    
1269|TYC 1475-928-1                                                        |High Proper Motion Star        |14 23 32.9696167128 +22 26 42.568219140|025.3597622787027 +68.6092695016013|-13.945 -75.020    |10.64    |~                   |    ~     ~    
1270|TYC 1475-943-1                                                        |Star                           |14 18 54.6137514936 +21 20 33.744900948|021.4856033114533 +69.2698606696573|-11.973 -12.206    |10.17    |~                   |    ~     ~    
1271|TYC 1475-956-1                                                        |Star                           |14 18 17.9081133504 +21 32 33.900169236|021.8778120621656 +69.4728113941776| -25.055 -2.091    |10.10    |~                   |    ~     ~    
1272|GSC 01482-00007                                                       |Long-Period Variable Candidate |14 26 11.3244040152 +22 16 56.896787280|025.4343926613512 +67.9783734622809|   0.459 -4.690    |10.82    |~                   |    ~     ~    
1273|TYC 1482-295-1                                                        |Star                           |14 26 05.1872338200 +21 11 49.116493176|022.6924045294117 +67.6511432090821|   6.163 -6.938    |9.53     |~                   |    ~     ~    
1274|TYC 2007-902-1                                                        |High Proper Motion Star        |14 16 33.1472976288 +23 27 00.334058544|026.8228353328602 +70.4376781016314|-118.124 39.819    |10.03    |~                   |    ~     ~    
1275|TYC 2007-1031-1                                                       |Star                           |14 16 15.4113330360 +23 21 38.468571696|026.5112475641245 +70.4792794837247|  -13.129 5.591    |9.87     |~                   |    ~     ~    
1276|TYC 2007-1031-2                                                       |Star                           |14 16 15.3309813984 +23 21 33.980654340|026.5074067389842 +70.4792412540709|  -13.187 6.490    |10.5     |~                   |    ~     ~    
1277|TYC 2007-1039-1                                                       |Star                           |14 17 04.0956237120 +23 37 24.553639668|027.4135628052978 +70.3684899020925| 16.115 -37.450    |10.30    |~                   |    ~     ~    
1278|TYC 2007-1047-1                                                       |High Proper Motion Star        |14 17 05.1928877256 +23 11 31.502814936|026.1822610524938 +70.2501258215902| 71.738 -60.264    |10.58    |~                   |    ~     ~    
1279|TYC 2007-1111-1                                                       |Star                           |14 17 20.1079164216 +23 35 18.602763684|027.3595387078374 +70.3004384807382| -38.298 23.151    |10.66    |~                   |    ~     ~    
1280|TYC 2007-1123-1                                                       |Star                           |14 17 58.7209103088 +23 21 04.441851288|026.7974428658077 +70.0959487812891|-14.476 -32.242    |10.84    |~                   |    ~     ~    
1281|TYC 2008-86-1                                                         |Star                           |14 21 06.2566972824 +23 24 19.620399420|027.4950128484128 +69.4183445284895| 15.675 -38.775    |10.60    |~                   |    ~     ~    
1282|TYC 2008-382-1                                                        |Star                           |14 21 45.8101515960 +22 51 43.710207336|026.1342486207000 +69.1247336773776| 14.269 -14.149    |10.83    |~                   |    ~     ~    
