C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:16:32

Vmag< 11&dec< 0&rah >=17.25&rah< 17.5
-------------------------------------

Number of objects : 7045

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |      ang. size      
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------------
126 |HD 157315                                                                                                |Star                           |17 24 41.1668131848 -44 11 26.082732120|344.8848225294859 -04.7044154374887|  -11.447 8.600    |8.35     |K1III               |    ~     ~          
127 |CD-44 11683                                                                                              |Star                           |17 24 41.7312942480 -44 07 10.528937688|344.9448676820200 -04.6661968471052|   2.130 -3.199    |10.44    |B9                  |    ~     ~          
128 |CD-44 11684                                                                                              |Star                           |17 24 42.6728080224 -44 17 19.561190460|344.8055806168142 -04.7629360942048|  -1.141 -0.731    |10.19    |B8                  |    ~     ~          
129 |CD-44 11688                                                                                              |Star                           |17 24 55.8502801680 -44 20 24.179849196|344.7848465763155 -04.8241443845753|   7.613 -9.024    |10.14    |F2                  |    ~     ~          
130 |CD-44 11697                                                                                              |Star                           |17 25 14.3675283528 -44 13 47.105318424|344.9076489450109 -04.8085753832281|   4.036 -6.499    |10.82    |OB                  |    ~     ~          
131 |CD-44 11700                                                                                              |Star                           |17 25 17.1518045808 -44 22 15.512801916|344.7945376237335 -04.8940772963445|  -0.457 -1.817    |10.35    |A2                  |    ~     ~          
132 |CD-44 11711                                                                                              |Star                           |17 26 04.4834618880 -44 09 08.838641772|345.0556489741410 -04.8900915325004|  -1.999 -3.551    |10.87    |A0                  |    ~     ~          
133 |CD-44 11712                                                                                              |Star                           |17 26 09.5574202248 -44 35 19.628031156|344.6995436124707 -05.1445944351459|   2.244 -3.272    |10.86    |A0                  |    ~     ~          
134 |HD 157573                                                                                                |Variable Star                  |17 26 12.2947275264 -44 33 16.042011228|344.7327569131301 -05.1323367359059|   1.730 -6.672    |9.16     |B7II                |    ~     ~          
135 |HD 157451                                                                                                |Wolf-Rayet                     |17 25 23.2779945960 -43 29 31.469964540|345.5372961398663 -04.4199947396624|    3.060 0.567    |10.20    |WC9                 |    ~     ~          
136 |TYC 7878-837-1                                                                                           |Star                           |17 19 31.4744563656 -41 51 50.291638200|346.2739166024485 -02.6113392542983|  -3.526 -4.990    |10.44    |~                   |    ~     ~          
