C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:01:59

Vmag< 11&dec< 0&rah >=3.75&rah< 4.0
-----------------------------------

Number of objects : 2900

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------
122 |HD 24107                                                              |Star                           |03 50 18.4232709648 -03 53 18.872269692|192.3995973286851 -41.4435165422154| 13.959 -19.786   |7.53     |K0III               |    ~     ~    
123 |HD 24412                                                              |Star                           |03 52 53.0032939272 -04 27 45.197157708|193.5065895033187 -41.2174186294695|   34.846 0.575   |9.24     |K1III               |    ~     ~    
124 |HD 24424                                                              |High Proper Motion Star        |03 52 59.8763508120 -04 22 15.167019612|193.4245656698949 -41.1438764020259| 19.168 -55.698   |7.50     |F0V                 |    ~     ~    
125 |HD 24470                                                              |High Proper Motion Star        |03 53 32.3916394536 -03 58 18.612543000|193.0774989047402 -40.8139672165657| 38.761 -82.588   |9.70     |G6V                 |    ~     ~    
126 |HD 24604                                                              |Star                           |03 54 34.4674413144 -04 09 28.474865964|193.4685764119331 -40.6980856867145|  -10.995 1.161   |7.97     |K0III               |    ~     ~    
127 |HD 24615                                                              |Star                           |03 54 44.6108930808 -04 21 30.611186064|193.7215012523168 -40.7707751282904|  -5.247 -0.857   |8.69     |F5V                 |    ~     ~    
128 |HD 24727                                                              |High Proper Motion Star        |03 55 49.3422894408 -04 31 36.578076852|194.0991650974562 -40.6341391597151|-13.399 -50.943   |7.05     |F5V                 |    ~     ~    
129 |BD-04 671                                                             |Star                           |03 49 14.1859412400 -04 25 28.985791872|192.8046836826653 -41.9604707664011| 16.200 -33.575   |10.58    |~                   |    ~     ~    
130 |BD-03 621                                                             |Star                           |03 50 20.5982192712 -02 55 40.464794712|191.3443831513443 -40.9030499924119|   28.275 7.401   |10.86    |~                   |    ~     ~    
131 |BD-03 622                                                             |High Proper Motion Star        |03 50 46.8064621680 -02 54 35.292320208|191.4052214389708 -40.8025310683016| 72.799 -39.222   |10.60    |~                   |    ~     ~    
132 |BD-04 677                                                             |Star                           |03 50 53.0503066368 -04 23 48.955699140|193.0732615749193 -41.6008215189817| -1.738 -14.200   |10.44    |~                   |    ~     ~    
