C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:01:59

Vmag< 11&dec< 0&rah >=3.75&rah< 4.0
-----------------------------------

Number of objects : 2900

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------
1963|TYC 8067-541-1                                                        |Star                           |03 56 52.8298054992 -46 49 43.295133828|254.1525741351394 -48.8314007747447|  -14.257 8.334   |10.975   |~                   |    ~     ~    
1964|TYC 8067-1140-1                                                       |Star                           |03 48 33.5043475656 -46 52 14.286179676|254.7044324520281 -50.2090698707228|    3.136 5.350   |10.61    |~                   |    ~     ~    
1965|TYC 8067-1572-1                                                       |Star                           |03 51 39.0578708016 -47 07 55.256135952|254.9056401734022 -49.6350097437869|   19.078 6.656   |10.814   |~                   |    ~     ~    
1966|TYC 8067-1744-1                                                       |Spectroscopic Binary           |03 49 51.1353132072 -46 08 58.768368144|253.5287126462455 -50.1581351766017|  15.470 -4.215   |10.85    |~                   |    ~     ~    
1967|TYC 8067-1889-1                                                       |Star                           |03 52 47.0562275664 -46 18 42.327998280|253.6042362550954 -49.6280252391536|  -2.801 -4.190   |10.91    |~                   |    ~     ~    
1968|TYC 8070-150-1                                                        |Star                           |03 53 30.4000404792 -47 51 02.269043460|255.8651111990619 -49.1609024179659|   8.334 23.696   |10.71    |~                   |    ~     ~    
1969|TYC 8070-381-1                                                        |Star                           |03 48 40.1413591560 -47 46 43.824018144|256.0683965193291 -49.9654853043188|    6.820 7.142   |10.932   |~                   |    ~     ~    
1970|TYC 8070-627-1                                                        |High Proper Motion Star        |03 49 42.3883709904 -48 03 32.957382528|256.4190269886589 -49.7253467932850|  69.177 32.137   |10.94    |~                   |    ~     ~    
1971|TYC 8070-703-1                                                        |Star                           |03 49 47.1841329840 -48 31 55.092118656|257.1183975615350 -49.5884051351446|   18.591 7.225   |10.88    |~                   |    ~     ~    
1972|GEN# -0.04601200                                                      |Star                           |03 51 22.0 -45 54 48                   |253.0812 -49.9522                  |            ~ ~   |7.550    |~                   |    ~     ~    
1973|CD-46 1166                                                            |Star                           |03 46 13.7972475696 -45 39 44.804343492|253.0018959752286 -50.8807969636182|    6.010 9.582   |10.968   |~                   |    ~     ~    
1974|HD 24977                                                              |Star                           |03 55 40.0184123448 -51 47 56.631129936|261.4549746745994 -47.7543195600040| -10.419 31.351   |7.81     |F2V                 |    ~     ~    
1975|CD-52 801                                                             |Star                           |03 55 08.4962850360 -51 59 34.464319980|261.7663892458122 -47.7723341054884|  11.629 -1.698   |9.65     |~                   |    ~     ~    
1976|CD-52 813                                                             |Star                           |03 57 32.9694287016 -52 10 21.005535936|261.8529182012439 -47.3652844840713|-36.781 -24.708   |10.31    |~                   |    ~     ~    
1977|CD-52 817                                                             |Star                           |03 58 03.8392077360 -52 04 03.807694704|261.6704994781421 -47.3212772838701|  15.477 -8.130   |9.89     |~                   |    ~     ~    
1978|HD 25302                                                              |Eclipsing Binary               |03 58 51.134280 -51 10 33.28104        |260.356909907 -47.460865304        |      22.1 32.8   |9.620    |F7/G0               |    ~     ~    
1979|HD 25316                                                              |Star                           |03 58 53.8646891880 -51 05 26.614018068|260.2329164464346 -47.4776604308747|  15.969 -2.695   |7.99     |G8III               |    ~     ~    
1980|CD-51 968                                                             |High Proper Motion Star        |03 59 04.8571741200 -51 01 12.078463476|260.1206229246840 -47.4694904511302|  45.203 20.743   |10.33    |K0                  |    ~     ~    
1981|CD-51 969                                                             |Spectroscopic Binary           |03 59 24.6053178960 -51 18 01.425727980|260.4976286174250 -47.3423386566787|  57.893 42.902   |10.00    |K5                  |    ~     ~    
1982|CD-51 970                                                             |Star                           |03 59 29.7770642976 -50 49 48.398367288|259.8239648179853 -47.4582334442068|    3.389 7.508   |10.017   |K5                  |    ~     ~    
1983|CD-51 971                                                             |High Proper Motion Star        |03 59 59.2557130224 -51 16 44.241502368|260.4303601981954 -47.2615229653377|  16.891 55.170   |10.488   |K0                  |    ~     ~    
1984|CD-52 800                                                             |Star                           |03 54 50.5101876960 -51 42 04.738888116|261.3739298316363 -47.9056599636607|    3.533 9.421   |10.141   |K2                  |    ~     ~    
1985|HD 25234                                                              |Spectroscopic Binary           |03 57 57.7485385272 -51 45 49.891034592|261.2485601017702 -47.4258244149909|  33.893 38.494   |9.68     |G8(III)             |    ~     ~    
1986|CD-52 819                                                             |Star                           |03 58 27.9984293496 -51 42 26.057375856|261.1349904489323 -47.3676132821603|   4.690 12.860   |10.297   |F0                  |    ~     ~    
