C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:51:40

Vmag< 11&dec< 0&rah >=14.25&rah< 14.5
-------------------------------------

Number of objects : 5563

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |      ang. size      
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------------
1784|CD-34 9652                                                            |Star                                  |14 28 30.8795387328 -35 31 54.113249352|324.2867059963139 +23.2823829314966|  14.275 -1.502   |10.97    |~              |    ~     ~          
1785|CD-34 9659                                                            |Star                                  |14 29 05.1493499592 -34 59 38.101572204|324.6378172391103 +23.7286266313747| 19.810 -30.270   |10.66    |~              |    ~     ~          
1786|HD 126976                                                             |Star                                  |14 29 38.8300109640 -33 22 17.700327408|325.4764898024906 +25.1647977276055|-35.154 -23.534   |8.63     |K1III          |    ~     ~          
1787|CD-32 10144                                                           |Star                                  |14 29 16.8438922824 -33 17 04.914917952|325.4384369078145 +25.2753536979986|    7.267 2.028   |10.242   |~              |    ~     ~          
1788|HD 126977                                                             |Star                                  |14 29 45.0313805448 -34 46 07.802444928|324.8733760066346 +23.8796121160827|  -6.877 -6.451   |8.90     |K4III          |    ~     ~          
1789|HD 126995                                                             |Star                                  |14 29 48.9788651088 -35 13 09.685043292|324.6879478678239 +23.4621060641824| -7.748 -10.910   |10.22    |F5V            |    ~     ~          
1790|TYC 7303-354-1                                                        |Star                                  |14 26 57.8730305712 -34 02 55.241268252|324.6124193404214 +24.7697048008656| -20.280 -7.613   |10.71    |~              |    ~     ~          
1791|TYC 7303-1857-1                                                       |Star                                  |14 27 22.6013198664 -35 12 29.487810960|324.1944191446966 +23.6713661729577|   3.111 -5.684   |10.89    |~              |    ~     ~          
1792|TYC 7303-1879-1                                                       |Star                                  |14 29 56.8371445416 -34 55 56.624883420|324.8413267404577 +23.7137142266730|  -7.016 -3.689   |10.55    |~              |    ~     ~          
1793|TYC 7303-1991-1                                                       |Star                                  |14 29 50.9903230512 -34 12 35.882576928|325.1423861919493 +24.3820858589656| -14.657 -3.796   |10.88    |~              |    ~     ~          
1794|TYC 7303-2122-1                                                       |Star                                  |14 29 39.2745595536 -34 42 21.938905368|324.8814368261610 +23.9449614754339| -0.525 -10.338   |10.75    |~              |    ~     ~          
1795|HD 126773                                                             |Star                                  |14 28 25.4555788728 -36 05 45.784034340|324.0247968182035 +22.7717653111455|  -15.701 4.466   |9.47     |G8IV           |    ~     ~          
1796|HD 126446                                                             |Double or Multiple Star               |14 26 32.77869 -36 29 53.4451          |323.47663123 +22.55040318          |  113.15 -85.85   |9.698    |G3V            |    ~     ~          
1797|CD-35 9534                                                            |Star                                  |14 27 50.3121875376 -36 13 03.700055712|323.8549172732410 +22.7067423506086| -11.087 -8.365   |10.53    |~              |    ~     ~          
1798|CD-35 9540                                                            |Star                                  |14 28 04.7152639488 -36 27 43.619350176|323.7987212879227 +22.4630482723187| -8.260 -21.279   |9.96     |K2             |    ~     ~          
1799|HD 126798                                                             |Star                                  |14 28 41.8403932344 -36 31 17.918907240|323.8968426491847 +22.3592186890797| -12.725 -0.884   |9.90     |F0V            |    ~     ~          
1800|HD 126418                                                             |Star                                  |14 26 17.1520479696 -37 30 16.738808256|323.0047328098921 +21.6423750651783|  -2.332 -6.185   |9.14     |F5V            |    ~     ~          
1801|CD-36 9362                                                            |Star                                  |14 26 55.6388455200 -37 08 52.128419460|323.2799548821918 +21.9221544045345| -37.340 16.951   |10.12    |~              |    ~     ~          
1802|HD 126557                                                             |Double or Multiple Star               |14 27 11.87773 -36 47 13.7767          |323.48516589 +22.23333141          |   -23.45 -4.09   |8.94     |F6V            |    ~     ~          
1803|HD 126621                                                             |Star                                  |14 27 36.0621380928 -37 01 43.703478804|323.4633586739772 +21.9794082496741| -0.427 -15.223   |10.02    |F6/7V(+F)      |    ~     ~          
