C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:46:59

Vmag< 11&dec >=0&rah >=19.75&rah< 20.0
--------------------------------------

Number of objects : 10261

  #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |      spec. type       |   ang. size   
-----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------------|---------------
5471 |HD 345258                                                             |Star                           |19 54 07.2657920352 +20 54 50.549581764|058.6266309034059 -03.5422980666317| -1.014 -11.956  |8.87     |K5                     |    ~     ~    
5472 |HD 345248                                                             |Pulsating Variable             |19 54 26.1516664728 +21 13 30.192553164|058.9318273216138 -03.4457499762240|  -8.144 -3.951  |9.95     |F0                     |    ~     ~    
5473 |HD 188211                                                             |Eclipsing Binary               |19 53 22.6528672920 +20 20 14.088067764|058.0409278714027 -03.6881555131762|  29.811 16.102  |7.122    |A0                     |    ~     ~    
5474 |HD 188212                                                             |Pulsating Variable             |19 53 24.2935706184 +20 19 38.809299108|058.0357718632888 -03.6986746075235|  32.391 18.002  |7.302    |A0                     |    ~     ~    
5475 |HD 350729                                                             |Pulsating Variable             |19 53 56.0438381712 +20 21 24.179894136|058.1245724883034 -03.7902784110512|  -0.677 -4.999  |10.64    |A0                     |    ~     ~    
5476 |HD 345259                                                             |Star                           |19 53 32.2923230328 +20 56 17.069644032|058.5774471888868 -03.4130938492291|  -1.399 -4.099  |10.96    |B8                     |    ~     ~    
5477 |HD 345253                                                             |Star                           |19 54 36.2075524872 +21 08 14.711773308|058.8765919435185 -03.5242760448163|  -2.830 -7.174  |10.57    |K5                     |    ~     ~    
5478 |HD 345249                                                             |Star                           |19 53 40.8711959880 +21 14 27.501791028|058.8551633916462 -03.2866167396528|  -4.228 -3.636  |10.91    |A5                     |    ~     ~    
5479 |HD 345246                                                             |Star                           |19 54 31.8080773440 +21 18 23.359288284|059.0131293073478 -03.4227761420671| -0.085 -11.652  |10.44    |K2                     |    ~     ~    
5480 |HD 345238                                                             |Star                           |19 54 21.8326161720 +21 35 10.777304112|059.2337386713683 -03.2458515254067|   2.301 -3.440  |10.01    |B5                     |    ~     ~    
5481 |HD 345232                                                             |Star                           |19 54 22.3835293920 +21 53 37.653274356|059.4990320319205 -03.0897297568860|   5.658 -2.301  |10.81    |F8                     |    ~     ~    
5482 |HD 345227                                                             |Star                           |19 54 24.0545557776 +22 03 51.597502380|059.6488585619040 -03.0076254869836|  -3.703 -6.715  |10.98    |A0                     |    ~     ~    
5483 |HD 345261                                                             |Star                           |19 52 50.4978376008 +21 00 13.401315720|058.5506514888053 -03.2397858933298| 13.872 -23.119  |9.70     |K0                     |    ~     ~    
5484 |HD 350725                                                             |Star                           |19 53 01.2588280272 +20 41 51.698276376|058.3085889782237 -03.4321746184573|  -7.389 -1.523  |9.43     |F5                     |    ~     ~    
5485 |HD 350732                                                             |Star                           |19 53 06.0879233832 +20 28 10.632310176|058.1218104683643 -03.5649007595848|    4.461 1.496  |10.79    |A3                     |    ~     ~    
5486 |HD 345262                                                             |Star                           |19 53 07.9647512616 +20 53 51.944188020|058.4942240680147 -03.3523630148324|  12.430 -7.684  |9.89     |F5                     |    ~     ~    
5487 |HD 345244                                                             |Star                           |19 53 18.5685129360 +21 19 43.530893184|058.8862711531366 -03.1672878698681|-23.395 -25.256  |9.98     |K0                     |    ~     ~    
5488 |HD 350727                                                             |Star                           |19 54 31.7643766536 +20 38 50.201050524|058.4462167873506 -03.7610530518837|-29.474 -36.947  |9.55     |F5                     |    ~     ~    
5489 |HD 350728                                                             |Star                           |19 54 38.1560936424 +20 25 13.202159772|058.2638109414814 -03.8989015949651| -4.650 -10.114  |10.08    |K0                     |    ~     ~    
5490 |HD 345266                                                             |Star                           |19 54 39.2955349728 +20 45 43.274574504|058.5600020411072 -03.7273542301855|  -1.887 -7.324  |10.11    |~                      |    ~     ~    
5491 |HD 345257                                                             |Star                           |19 54 40.4724263808 +20 57 01.330422696|058.7243169910342 -03.6345739833811|  -1.089 -2.057  |9.86     |K5                     |    ~     ~    
5492 |HD 345243                                                             |Star                           |19 53 05.8205186376 +21 23 27.208363992|058.9143795161246 -03.0929922727581|   1.549 -2.868  |10.85    |A3                     |    ~     ~    
5493 |HD 345241                                                             |Star                           |19 54 15.1945031880 +21 34 19.876535256|059.2083579343289 -03.2310421922097|    7.570 0.183  |10.15    |F0                     |    ~     ~    
