C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:00:59

Vmag< 11&dec< 0&rah >=15.5&rah< 15.75
-------------------------------------

Number of objects : 6376

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |    spec. type     |      ang. size      
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|-------------------|---------------------
131 |CD-36 10347                                                           |Star                           |15 42 18.8482023192 -37 18 16.006992624|336.7393289942099 +14.1080943377672|  -0.640 -4.079     |10.86    |~                  |    ~     ~          
132 |CD-37 10451                                                           |Star                           |15 43 10.1790429384 -37 36 21.858126552|336.6823986706554 +13.7664061443663|-12.978 -11.323     |10.39    |~                  |    ~     ~          
133 |CD-38 10615                                                           |Star                           |15 43 57.0560055840 -38 28 09.973203096|336.2519130072402 +12.9959034643990|  -9.485 -1.972     |10.62    |~                  |    ~     ~          
134 |CD-39 10122                                                           |Star                           |15 44 26.3263186344 -39 23 43.633252392|335.7356000924871 +12.2131985631185|  -2.518 -2.165     |10.50    |~                  |    ~     ~          
135 |CD-37 10465                                                           |Star                           |15 44 33.7371071856 -37 32 38.199390612|336.9439148185376 +13.6421171455171|  -1.994 -6.935     |10.17    |~                  |    ~     ~          
136 |HD 138823                                                             |Star                           |15 35 59.7755770752 -38 55 45.599555172|334.7026692453726 +13.5848761343805|  -6.060 -7.818     |10.01    |A1III/IV           |    ~     ~          
137 |HD 139081                                                             |Star                           |15 37 34.5692519784 -39 05 24.638415360|334.8541258737353 +13.2712486896474|-30.012 -33.616     |7.46     |K0III              |    ~     ~          
138 |HD 139271                                                             |Star                           |15 38 42.1803372504 -39 07 39.884184588|335.0089611476204 +13.1085552725267|   9.986 -1.335     |6.041    |A3/5mA3-F2         |    ~     ~          
139 |HD 139825                                                             |Spectroscopic Binary           |15 41 52.9587100104 -39 28 44.480277516|335.2863434736501 +12.4539047855131|-11.089 -15.052     |8.23     |Fm_dD              |    ~     ~          
140 |HD 139981                                                             |Star                           |15 42 46.5125589768 -39 26 17.202148260|335.4508947375770 +12.3795401716901| 19.099 -34.045     |10.08    |F5V                |    ~     ~          
