C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:00:59

Vmag< 11&dec< 0&rah >=15.5&rah< 15.75
-------------------------------------

Number of objects : 6376

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |    spec. type     |      ang. size      
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|-------------------|---------------------
626 |CD-26 10955                                                           |Star                           |15 36 40.0642514328 -26 47 51.625922712|342.7401371234482 +23.0270038957660|  -9.851 -9.719     |10.88    |~                  |    ~     ~          
627 |CD-27 10461                                                           |Star                           |15 36 43.0082909208 -27 36 27.528330852|342.1899768026160 +22.3956393308830| -3.349 -13.675     |10.33    |~                  |    ~     ~          
628 |HD 138974                                                             |High Proper Motion Star        |15 36 21.5823846960 -28 25 04.765840644|341.5699035948696 +21.8187175529388|114.836 -27.516     |9.60     |G3V                |    ~     ~          
629 |HD 139160                                                             |Spectroscopic Binary           |15 37 28.4996647464 -26 16 47.509681800|343.2516239204983 +23.3091427454680| -9.990 -22.360     |6.194    |B9IV               |    ~     ~          
630 |HD 139230                                                             |Double or Multiple Star        |15 37 50.9585 -26 22 14.937            |343.2579661 +23.1855585            |   -10.80 -7.40     |9.88     |F5V                |    ~     ~          
631 |HD 139382                                                             |Star                           |15 38 43.5764328504 -26 17 51.396725940|343.4727170493057 +23.1150101315978|   2.953 -7.295     |9.40     |K5/M0              |    ~     ~          
632 |HD 139094                                                             |Double or Multiple Star        |15 37 06.8848382712 -26 29 32.583873336|343.0358891346605 +23.1978461983825|  -9.495 -4.456     |7.38     |B8IV/V             |0.0050  0.0          
633 |HD 139204                                                             |Star                           |15 37 41.7751683840 -26 37 11.928649296|343.0554666123493 +23.0165550764514|-13.823 -31.780     |8.68     |K4III              |    ~     ~          
634 |HD 139383                                                             |High Proper Motion Star        |15 38 43.2283001952 -26 50 27.771020412|343.0915431685680 +22.7002246687714|-28.364 -49.507     |8.51     |F5V                |    ~     ~          
635 |HD 139427                                                             |Star                           |15 39 00.3407956152 -27 14 46.416356556|342.8621984980983 +22.3490503642587|-28.506 -18.146     |9.73     |F2V                |    ~     ~          
636 |HD 139498                                                             |Young Stellar Object           |15 39 24.41463 -27 10 22.0625          |342.98711889 +22.34790475          |  -16.34 -31.75     |10.21    |G8V                |    ~     ~          
637 |HD 140170                                                             |Star                           |15 43 05.4359329440 -26 46 31.490215572|343.9402957878042 +22.1175978125281|-18.381 -12.620     |9.47     |G8III              |    ~     ~          
638 |HD 140213                                                             |Star                           |15 43 16.4858981832 -26 28 35.489603676|344.1853248802807 +22.3165286703057|-28.086 -31.565     |9.01     |F3IV               |    ~     ~          
639 |HD 140214                                                             |Star                           |15 43 20.8492057968 -26 55 28.616386836|343.8817519235578 +21.9672661989343| -8.918 -35.069     |9.82     |F3V                |    ~     ~          
640 |* ups Lib                                                             |Double or Multiple Star        |15 37 01.4501996 -28 08 06.292648      |341.8849650672 +21.9450644502      |   -12.82 -4.15     |3.589    |K3.5III            |    ~     ~          
641 |HD 139499                                                             |Star                           |15 39 29.8384984728 -27 41 26.040708456|342.6442741652604 +21.9384570883508|  -5.035 -2.283     |9.45     |G8IV               |    ~     ~          
642 |HD 139519                                                             |Double or Multiple Star        |15 39 36.42209 -27 38 35.6794          |342.69712421 +21.95911578          |     13.29 3.08     |7.83     |A2/3IV/V           |    ~     ~          
643 |V* IW Lib                                                             |RR Lyrae Variable Candidate    |15 39 38.0958733416 -27 31 28.310922804|342.7845431746665 +22.0460736737099|  11.100 -5.267     |9.40     |F0V                |    ~     ~          
644 |HD 139577                                                             |Star                           |15 39 51.7361296440 -28 02 34.532395800|342.4672518887539 +21.6165266598852|-12.613 -25.165     |8.90     |K3/4(III)          |    ~     ~          
