C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:07:53

Vmag< 11&dec >=0&rah >=4.75&rah< 5.0
------------------------------------

Number of objects : 4641

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
2104|HD 286078                                                             |Star                           |04 50 26.0583571032 +16 45 45.403738272|182.9788297144140 -17.3257546199378| 33.810 -18.667  |10.28    |F8                |    ~     ~    
2105|HD 30738                                                              |Spectroscopic Binary           |04 50 48.5436954768 +16 12 37.623200256|183.5012180658440 -17.5799412937456| 83.072 -26.248  |7.266    |~                 |    ~     ~    
2106|V* V Tau                                                              |Mira Variable                  |04 52 02.3036114928 +17 32 16.710466272|182.5635675676571 -16.5574951962677| 13.946 -12.434  |8.50     |M1-4.5e           |    ~     ~    
2107|HD 286133                                                             |Variable Star                  |04 52 16.8945771360 +17 40 41.369139624|182.4816673541454 -16.4277180491493|  2.846 -15.137  |10.01    |A3                |    ~     ~    
2108|HD 286026                                                             |Star                           |04 45 32.9859033816 +17 23 52.553404500|181.7122904973452 -17.8814157115039|   6.993 -6.142  |10.86    |A0                |    ~     ~    
2109|HD 286072                                                             |Star                           |04 48 45.5489654760 +17 30 16.822591380|182.1049958646403 -17.2053604155750|  2.211 -21.033  |10.46    |K7                |    ~     ~    
2110|HD 286029                                                             |High Proper Motion Star        |04 47 53.7549749832 +16 59 25.463197500|182.4078532294014 -17.6780834225438| 28.568 -64.513  |10.80    |G5                |    ~     ~    
2111|HD 286080                                                             |Star                           |04 48 34.6248319200 +16 48 37.326959172|182.6615209737302 -17.6548285991791|  -5.818 -7.627  |10.82    |G5                |    ~     ~    
2112|HD 286082                                                             |Star                           |04 48 22.4570290104 +16 35 06.853980624|182.8209822327540 -17.8279631775488|   4.870 -5.333  |10.31    |K5                |    ~     ~    
2113|HD 286086                                                             |Star                           |04 50 20.8799276784 +16 22 55.793358336|183.2873327097724 -17.5677242057420|   3.960 -7.330  |10.67    |K7                |    ~     ~    
2114|HD 286087                                                             |Star                           |04 51 06.0773683944 +16 26 31.648247448|183.3485783125546 -17.3865705949110|  -22.998 2.249  |10.60    |K5                |    ~     ~    
2115|HD 286034                                                             |Star                           |04 46 01.5422769744 +16 15 29.837002500|182.7432638174326 -18.4749772117973|  17.350 -4.416  |9.96     |K0                |    ~     ~    
2116|HD 286032                                                             |Star                           |04 47 29.7576160968 +16 17 55.595631552|182.9309707159887 -18.1677720864513| 17.691 -15.866  |10.66    |K5                |    ~     ~    
2117|HD 286030                                                             |Spectroscopic Binary           |04 48 02.9205925512 +16 52 07.257740628|182.5332261458859 -17.7215117943130|   -4.424 7.290  |10.84    |F0                |    ~     ~    
2118|HD 286083                                                             |Star                           |04 48 13.0943729520 +16 19 06.955286448|183.0227692003833 -18.0167323750092|   0.312 -6.032  |10.51    |A7                |    ~     ~    
2119|HD 286077                                                             |Star                           |04 50 38.5745082384 +16 50 20.097909096|182.9454652552537 -17.2403156098330|   1.151 -6.919  |10.91    |K0                |    ~     ~    
2120|HD 286071                                                             |Star                           |04 48 28.1409709464 +17 57 42.154343172|181.6788705723832 -16.9868069974752|   -1.645 5.254  |10.28    |K2                |    ~     ~    
2121|HD 286075                                                             |Spectroscopic Binary           |04 51 18.0941706720 +17 21 56.064144636|182.5996455848778 -16.8012325495765|  5.166 -27.111  |9.64     |K0                |    ~     ~    
2122|HD 286068                                                             |Star                           |04 51 41.0189811744 +17 54 08.564752008|182.2054762879659 -16.4091012200315|  -4.936 -7.832  |10.37    |A8                |    ~     ~    
2123|HD 286067                                                             |Star                           |04 51 55.5322995792 +18 00 38.119618512|182.1504582722916 -16.2985044478240|  -2.361 -1.660  |10.44    |K5                |    ~     ~    
2124|IRAS 04462+1718                                                       |Star                           |04 49 09.2296978968 +17 23 42.002853036|182.2559330865665 -17.1954400766190|    0.132 0.092  |10.49    |~                 |    ~     ~    
2125|IRAS 04482+1635                                                       |Star                           |04 51 05.9964981096 +16 40 54.400934712|183.1458829385258 -17.2451907654954|   1.052 -6.490  |10.98    |~                 |    ~     ~    
2126|HD 286085                                                             |High Proper Motion Star        |04 50 00.7134564816 +16 24 43.417726236|183.2119990856610 -17.6149983963448| 84.045 -27.012  |10.69    |K6                |    ~     ~    
2127|V* DR Tau                                                             |Orion Variable                 |04 47 06.2151561264 +16 58 42.813872580|182.2987762651062 -17.8369479360248|  5.207 -13.889  |10.50    |K5Ve              |    ~     ~    
2128|Cl* NGC 1647 ZSC 1475                                                 |Star                           |04 46 48.9020756568 +18 36 50.422165380|180.8873681770293 -16.9069072931091| -0.284 -25.404  |10.87    |~                 |    ~     ~    
2129|TYC 1271-1396-1                                                       |Star                           |04 47 26.0863881624 +18 20 05.993965356|181.2125721475493 -16.9584140053085|   -6.263 1.714  |10.76    |~                 |    ~     ~    
2130|TYC 1271-1489-1                                                       |Star                           |04 47 19.8193447920 +17 52 59.980880784|181.5740643540488 -17.2503895301722|  9.150 -15.865  |10.90    |~                 |    ~     ~    
